check_id,transition_id,parameter_condition,input_pattern,next_pattern,next_degree_formula,next_signed_dimension,witness_input_formula,witness_real_root,pairing_formula,serre_exponent_formula,terminal_formula,terminal_signed_dimension,subdegree_check,proof_reference,check_status,notes
A_to_B_1,A_to_B,"N even, N >= 14",A_N,B_N,"(0,N,N+1)",1,"(0,N+1,N)",delta_3,-2,3,"(0,N+1,N+3)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
A_to_B_2,A_to_B,"N even, N >= 14",A_N,B_N,"(0,N+1,N+1)",10,"(0,N+1,N)",delta_3,-2,3,"(0,N+1,N+3)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
A_to_B_3,A_to_B,"N even, N >= 14",A_N,B_N,"(0,N+1,N+2)",1,"(0,N+1,N)",delta_3,-2,3,"(0,N+1,N+3)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
A_to_B_4,A_to_B,"N even, N >= 14",A_N,B_N,"(N,0,N+1)",1,"(N+1,0,N)",delta_3,-2,3,"(N+1,0,N+3)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
A_to_B_5,A_to_B,"N even, N >= 14",A_N,B_N,"(N+1,0,N+1)",10,"(N+1,0,N)",delta_3,-2,3,"(N+1,0,N+3)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
A_to_B_6,A_to_B,"N even, N >= 14",A_N,B_N,"(N+1,0,N+2)",1,"(N+1,0,N)",delta_3,-2,3,"(N+1,0,N+3)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
B_to_A_shift_1,B_to_A_shift,"N even, N >= 14",B_N,A_{N+2},"(0,N+2,N+1)",1,"(0,N+1,N+2)",delta_2,-2,3,"(0,N+4,N+2)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
B_to_A_shift_2,B_to_A_shift,"N even, N >= 14",B_N,A_{N+2},"(0,N+2,N+2)",10,"(0,N+1,N+2)",delta_2,-2,3,"(0,N+4,N+2)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
B_to_A_shift_3,B_to_A_shift,"N even, N >= 14",B_N,A_{N+2},"(0,N+3,N+2)",1,"(0,N+1,N+2)",delta_2,-2,3,"(0,N+4,N+2)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
B_to_A_shift_4,B_to_A_shift,"N even, N >= 14",B_N,A_{N+2},"(N+2,0,N+1)",1,"(N+1,0,N+2)",delta_1,-2,3,"(N+4,0,N+2)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
B_to_A_shift_5,B_to_A_shift,"N even, N >= 14",B_N,A_{N+2},"(N+2,0,N+2)",10,"(N+1,0,N+2)",delta_1,-2,3,"(N+4,0,N+2)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
B_to_A_shift_6,B_to_A_shift,"N even, N >= 14",B_N,A_{N+2},"(N+3,0,N+2)",1,"(N+1,0,N+2)",delta_1,-2,3,"(N+4,0,N+2)",0,proper_nonzero_subdegree_for_all_N_ge_14,compute/verify_wrel_tail_staircase.py symbolic affine pairing and phi_0_1 q^0 support,verified,target-degree tail implication; not a compact source representative
