obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,o2_status,proof_reference,check_status,notes
simple_wall_coverage,wall_object,retained simple type-II wall coverage,wall_objects.csv,simple_type_ii_wall_coverage,delta_1 delta_2 delta_3 all represented,O2_atlas must cover all three simple type-II walls,missing_open_obligation,appendices/G_obstruction_discharges.tex:73,verified,no simple wall coverage row supplied
charge_match,wall_object,full charge match row,wall_objects.csv,charge_match,charge_match_status=verified,The wall object must have the type-II lattice charge claimed by the atlas,missing_open_obligation,appendices/G_obstruction_discharges.tex:85,verified,no charge match row supplied
wall_semistability,wall_object,wall semistability row,wall_objects.csv,semistability,semistability_status=verified,The local wall object must lie in the retained HN stability window,missing_open_obligation,appendices/G_obstruction_discharges.tex:85,verified,no wall semistability row supplied
self_ext_splitting,wall_object,reduced self-Ext splitting row,wall_objects.csv,self_ext_splitting,self_ext_splitting_id with zero splitting defect,The rank-one normal form requires a tangent-normal reduced self-Ext splitting,missing_open_obligation,chapters/10_open_obstructions.tex:347,verified,no reduced self-Ext splitting row supplied
rank_one_block,wall_object,rank-one normal Pfaffian block row,wall_objects.csv,rank_one_block,rank_one_block_id and normal_rank=1,The local Pfaffian sign uses a rank-one normal block,missing_open_obligation,chapters/06_pfaffian_dirac.tex:340,verified,no rank-one block row supplied
invariant_unit,wall_object,invariant normal Pfaffian unit row,wall_objects.csv,invariant_unit,invariant_unit_id and unit_invariant=true,The sign computation requires an invariant Pfaffian unit,missing_open_obligation,appendices/G_obstruction_discharges.tex:88,verified,no invariant unit row supplied
quotient_orientation,wall_object,quotient orientation row,wall_objects.csv,quotient_orientation,quotient_orientation_id,The wall sign is orientation data on the reduced E-quotient,missing_open_obligation,appendices/G_obstruction_discharges.tex:97,verified,no quotient orientation row supplied
middle_wall_wrapped_object,wall_object,middle-wall wrapped object,wall_objects.csv,wrapped_wall_object,delta_2 maps to (0 1 1) with positive b-degree,The middle type-II wall requires a wrapped geometric representative,missing_open_obligation,chapters/06_pfaffian_dirac.tex:358,verified,no middle-wall wrapped object row supplied
chart_coordinate,wall_chart,normal coordinate row,wall_charts.csv,normal_coordinate,coordinate_id with s_delta(u)=-u,A wall chart needs a real normal coordinate before the local sign is defined,missing_open_obligation,chapters/06_pfaffian_dirac.tex:341,verified,no normal coordinate row supplied
chart_tangent_pfaffian_line,wall_chart,tangent Pfaffian line row,wall_charts.csv,tangent_pfaffian_line,tangent_pfaffian_line_id,The normal crossing must be tensored with the tangent Pfaffian factor,missing_open_obligation,appendices/E_pfaffian_wall.tex:110,verified,no tangent Pfaffian line row supplied
chart_normal_rank,wall_chart,rank-one normal-form row,wall_charts.csv,normal_rank,normal_rank=1,O2 requires rank one not only a formal wall equation,missing_open_obligation,chapters/10_open_obstructions.tex:359,verified,no normal rank row supplied
chart_divisor_order,wall_chart,type-II wall divisor order row,wall_charts.csv,divisor_order,divisor_order=1,The Pfaffian vanishing order on each type-II wall must be one,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1913,verified,no divisor order row supplied
chart_unit_invariant,wall_chart,invariant unit row,wall_charts.csv,unit_invariant,unit_invariant=true,The local sign is not defined if the unit has nontrivial reflection character,missing_open_obligation,chapters/10_open_obstructions.tex:363,verified,no unit-invariance row supplied
