obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,finite_R_status,proof_reference,check_status,notes
target_scope_index,target_scope,relation-closed target degree index,target_degree_to_R.csv,target_scope_row,finite prefix degrees together with symbolic A_N and B_N tail families,row 200 quantifies over the relation-closed target degree set not only W_rel_plus,missing_open_obligation,certificates/targets/delta5_gn_kac/wrel_tail_staircase/README.md:1,verified,no complete target-scope index row supplied
finite_prefix_degree_to_R,finite_prefix,finite prefix degree-to-R map,target_degree_to_R.csv,degree_to_R_row,target degree id finite R and Gamma_R_test membership witness,every finite target degree needs a concrete finite HN stage,missing_open_obligation,certificates/targets/delta5_gn_kac/wrel_degree_closure/README.md:1,verified,no finite prefix degree-to-R rows supplied
symbolic_tail_R_formula,symbolic_tail,symbolic finite-R formula for tail,symbolic_tail_R_witnesses.csv,symbolic_R_formula,"R_A(N), R_B(N), charge and translate formulas for every even N>=14",the target tail is infinite and cannot be closed by a finite prefix,missing_open_obligation,certificates/targets/delta5_gn_kac/wrel_tail_staircase/unbounded_tail.csv:1,verified,no symbolic R(N) witness supplied
hn_charge_witnesses,HN,finite HN charge witnesses,hn_witnesses.csv,hn_charge_witness,c in Gamma_R^HN for every target degree,finite test-window membership is defined using retained HN charges,missing_open_obligation,certificates/charge/k3e_charge_window/liu_hn_window.csv:1,verified,no HN charge witnesses supplied
translate_witnesses,normal_ordering,normal-ordered translate witnesses,hn_witnesses.csv,translate_witness,T in T_R(c) with decomposition and B-cocycle provenance,the equality Pi_X(c)+T=gamma requires actual translate rows,missing_open_obligation,certificates/charge/k3e_charge_window/normal_ordered_lifts.csv:1,verified,no translate witnesses supplied
image_equality_rows,target_image,image equality rows,hn_witnesses.csv,image_equality_row,Pi_X(c)+T equals target gamma with zero defect,this is the mathematical content of appearing in Gamma_R_test,missing_open_obligation,certificates/charge/finite_test_window/definition_rows.csv:1,verified,no image equality rows supplied
finite_R_bounds,finite_R,finite HN-stage bounds,coverage_defects.csv,finite_R_bound,every witness has an integer finite R and belongs to the cofinal HN index set,appearing at finite R is stronger than formal target-side membership,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:def:finite-target-test-window,verified,no finite-R bound rows supplied
transition_compatibility,transition,test-window transition compatibility,transition_compatibility.csv,transition_row,witnesses remain compatible under R to Rprime inclusions,cofinal primitive recognition uses a directed test-window system,missing_open_obligation,certificates/charge/finite_test_window/test_window_transitions.csv:1,verified,no transition compatibility rows supplied
coverage_zero,coverage,zero coverage-defect row,coverage_defects.csv,coverage_zero_row,finite_prefix_covered=true symbolic_tail_covered=true coverage_defect_rank=0,this is the final row proving every relation-closed target degree appears at finite R,missing_open_obligation,certificates/charge/relation_closed_target_finite_R_exhaustion/README.md:1,verified,no zero coverage-defect row supplied
source_compatibility,source,compact source compatibility,target_degree_to_R.csv,source_compatibility_row,source degrees map into the realized target test windows,finite-R target realization alone is not compact source recognition,missing_open_obligation,certificates/sources/target_source_window_compatibility/README.md:1,verified,no compact source compatibility rows supplied
no_target_only_substitution,firewall,target-only substitution excluded,scalar_firewall.csv,target_only_substitution_excluded,target closure rows and tail rows do not provide HN charge witnesses,prevents target-side relation closure from being read as finite-R realization,missing_open_obligation,certificates/targets/delta5_gn_kac/wrel_degree_closure/source_firewall.csv:1,verified,firewall rows supplied but finite-R witness rows absent
