firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_pairing_matrix_only,pairing_matrix_only,true,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,a pairing matrix defines a pointwise kernel but not image stabilization
firewall_rank_equality_only,rank_equality_only,true,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,rank equality does not compute R1lim of kernel towers
firewall_determinant_only,determinant_only,true,0,chapters/04_view2_bkm.tex,verified,a determinant or denominator exponent is not a kernel tower
firewall_quotient_nondegeneracy_only,quotient_nondegeneracy_only,true,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,nondegeneracy after quotient presupposes kernels and does not prove their ML exactness
firewall_primitive_space_ml_only,primitive_space_ml_only,true,0,certificates/hall/primitive_space_lim1_vanishing,verified,ML exactness of ambient primitive spaces does not automatically prove ML exactness of kernel subspaces without strict kernel rows
firewall_radical_transition_only,radical_transition_only,true,0,certificates/hall/transition_radical_preservation,verified,transition preservation of radicals gives maps but not stable images
firewall_target_pairing_kernel,target_pairing_kernel,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,target invariant-pairing kernels do not supply source pairing-kernel image stabilization
firewall_signed_multiplicity,signed_multiplicity,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,signed multiplicities do not determine pairing-kernel inverse-limit exactness
firewall_denominator_product,denominator_product,true,0,chapters/04_view2_bkm.tex,verified,the Borcherds denominator product is a target identity not a source kernel ML witness
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace does not compute R1lim of pairing kernels
firewall_protected_trace,protected_trace,true,0,certificates/trace/k3e_protected_trace,verified,protected traces are scalar shadows not pairing-kernel image data
firewall_poincare_duality,poincare_duality,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,verified,Poincare duality does not construct the compact Hall Hopf-pairing kernel tower
firewall_hopf_pairing_identity_only,hopf_pairing_identity_only,true,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,Hopf adjointness and Frobenius identities do not supply kernel transition images
firewall_empty_ml_status,empty_ml_status,true,0,certificates/sources/k3e_compact_hall/transitions.csv,verified,a header-only transition table proves no R1lim vanishing
