firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_borcherds_s_degree_only,borcherds_s_degree_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,m coordinate alone is not b_R_geom without the stated wall-branch routing
fw_type_ii_target_label_only,type_ii_target_label_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,target wall image alone is not a retained object
fw_compact_mukai_representative_only,compact_mukai_representative_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,compact Mukai representatives do not supply wrapped support realization
fw_local_ran_point,local_ran_point,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,positive elliptic degree is not a finite local support on Ran(E)
fw_compact_hall_source_basis,compact_hall_source_basis,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,routing does not supply compact Hall source basis vectors
fw_o2_wall_object,o2_wall_object,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,routing does not supply retained O2 wall objects
fw_quotient_first_product,quotient_first_product,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,mixed operations are defined before E-quotient
fw_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,routing does not supply a scalar trace
fw_pfaffian_sign,pfaffian_sign,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,routing does not compute a Pfaffian sign
fw_protected_integration,protected_integration,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,routing does not supply protected integration
fw_populated_hybrid_carrier,populated_hybrid_carrier,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:middle-type-ii-wall-wrapped-mixed,verified,routing does not populate the aggregate hybrid carrier packet
