firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_determinant_construction_only,determinant_anchor_construction_only,true,0,certificates/hybrid/determinant_anchor_construction/README.md:1,verified,the construction packet alone does not compute the translation weight
firewall_pullback_sign,pullback_translation_sign_without_convention,true,0,chapters/02_k3xe_setup.tex:prop:determinant-anchor-translation-weight,verified,the positive sign uses the pushforward support-translation convention
firewall_unit_weight,unit_weight_claim,true,0,chapters/02_k3xe_setup.tex:prop:determinant-anchor-translation-weight,verified,weight chi_eta is not a unit-weight normalization
firewall_chi_zero,chi_zero_repair,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1169,verified,row 215 handles chi equals zero degeneracy separately
firewall_extra_anchor,extra_anchor_data,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1170,verified,row 216 supplies extra anchor data separately
firewall_anchor_residual,anchor_residual,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1171,verified,row 217 defines the anchor residual separately
firewall_losslessness,anchor_losslessness,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,translation weight is not anchor losslessness
firewall_quotient_descent,quotient_descent,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,weight computation is before quotient descent
firewall_stabilizer_linearization,stabilizer_linearization,true,0,chapters/02_k3xe_setup.tex:rem:translation-linearization-criterion,verified,restriction h maps to chi_eta h is not a coherent character trivialization
firewall_mod2_orientation,mod2_orientation_character,true,0,chapters/02_k3xe_setup.tex:rem:mod2-not-odd-order,verified,mod two orientation character does not compute odd-order anchor characters
firewall_fock,scalar_Fock_factor,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar Fock factor is not a determinant-anchor translation law
firewall_borcherds_degree,Borcherds_s_degree,true,0,certificates/hybrid/geometric_borcherds_degree_separation/README.md:1,verified,the Borcherds trace degree does not compute Pic0 translation weight
firewall_ordinary_ran,ordinary_Ran_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-ran-prestack,verified,ordinary Ran locality has no wrapped determinant anchor translation law
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no determinant-anchor weight payload
