firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_wrapped_stratum_only,wrapped_stratum_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-stratum-prestack,verified,the carrier subprestack does not itself define the E-action on prequotients
firewall_retained_translation_quotient_only,retained_translation_quotient_only,true,0,chapters/02_k3xe_setup.tex:prop:retained-e-translation-rigidifications,verified,retained translation rigidification is imported but not a finite-type wrapped-prequotient theorem
firewall_determinant_anchor_only,determinant_anchor_only,true,0,chapters/02_k3xe_setup.tex:prop:determinant-anchor-chi-zero-degeneracy,verified,determinant anchor data is not the wrapped prequotient definition
firewall_finite_type_claim,finite_type_claim,true,0,certificates/hybrid/equivariant_wrapped_prequotient_definition/finite_type_rows.csv:1,verified,row 219 does not prove finite type
firewall_properness_claim,properness_claim,true,0,certificates/hybrid/equivariant_wrapped_prequotient_definition/properness_rows.csv:1,verified,row 219 does not prove properness
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:def:e-equivariant-wrapped-prequotient-stack,verified,the definition lives before the reduced E-quotient
firewall_anchor_losslessness,anchor_losslessness,true,0,certificates/hybrid/equivariant_wrapped_prequotient_definition/anchor_losslessness_rows.csv:1,verified,no anchor-losslessness theorem is supplied
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:def:e-equivariant-wrapped-prequotient-stack,verified,a scalar trace cannot replace the prequotient stack
firewall_borcherds_s_degree,Borcherds_s_degree,true,0,chapters/05_subsections/05_1_hybrid.tex:def:geometric-borcherds-degree-comparison-datum,verified,the Borcherds trace coordinate is not the geometric prequotient datum
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,the aggregate hybrid carrier remains blocked
