obligation_id,lane,required_artifact,required_table,required_row_type,rank_or_scalar_payload,why_required,trace_status,proof_reference,check_status,notes
trace_category_level,trace_category,level-Z trace category row,trace_categories.csv,level_z_category,beilinson_level=Z,The protected trace must be placed at the center/trace level,missing_open_obligation,appendices/G_obstruction_discharges.tex:788,verified,no level-Z trace category row supplied
trace_source_object,trace_category,trace source object row,trace_categories.csv,source_object,source_object_id for Z_ch_der(C_X),The trace must name the chain-level derived chiral centre being traced,missing_open_obligation,appendices/G_obstruction_discharges.tex:799,verified,no trace source object row supplied
trace_closed_cobordism,trace_category,closed K3xE to point cobordism row,trace_categories.csv,closed_cobordism,closed_cobordism_id with closedness_defect_rank=0,The scalar shadow is a closed trace not an open operator,missing_open_obligation,chapters/09_zbps_realization.tex:799,verified,no closed cobordism row supplied
trace_operator_domain,trace_category,operator-domain row,trace_categories.csv,operator_domain,operator_domain_id,The operator being traced must live in a specified category,missing_open_obligation,appendices/G_obstruction_discharges.tex:791,verified,no operator-domain row supplied
trace_category_defects,trace_category,zero trace-category defects row,trace_categories.csv,category_defects,category_defect_rank=0 closedness_defect_rank=0,The trace category must be closed and defect-free before identities are asserted,missing_open_obligation,compute/verify_trace_fixture.py:69,verified,no category defect row supplied
trace_functor_domain,trace_functor,protected trace domain row,protected_trace_functors.csv,domain_category,domain_category_id,The trace functor must have a domain category,missing_open_obligation,compute/verify_trace_fixture.py:83,verified,no trace domain row supplied
trace_functor_codomain,trace_functor,protected trace codomain row,protected_trace_functors.csv,codomain,codomain_id,The trace functor must specify its scalar target,missing_open_obligation,compute/verify_trace_fixture.py:83,verified,no trace codomain row supplied
trace_functor_degree,trace_functor,degree-variable row,protected_trace_functors.csv,degree_variable,degree_variable_id,The trace identity must retain q r s grading before scalarization,missing_open_obligation,appendices/G_obstruction_discharges.tex:793,verified,no degree-variable row supplied
trace_functor_functoriality,trace_functor,functoriality row,protected_trace_functors.csv,functoriality,functoriality_defect_rank=0,The protected trace must be functorial on the retained category,missing_open_obligation,compute/verify_trace_fixture.py:83,verified,no functoriality row supplied
trace_functor_cyclicity,trace_functor,cyclicity row,protected_trace_functors.csv,cyclicity,cyclicity_defect_rank=0,The level-Z trace pairing is cyclic not just scalar evaluation,missing_open_obligation,appendices/G_obstruction_discharges.tex:869,verified,no cyclicity row supplied
trace_functor_excision,trace_functor,excision row,protected_trace_functors.csv,excision,excision_defect_rank=0,The closed trace must be compatible with cutting and gluing,missing_open_obligation,compute/verify_trace_fixture.py:83,verified,no excision row supplied
operator_pfaffian_section,trace_operator,operator Pfaffian section row,trace_operators.csv,pfaffian_section,pfaffian_section_id,The scalar inverse square must know which protected Pfaffian section is traced,missing_open_obligation,chapters/09_zbps_realization.tex:727,verified,no Pfaffian section row supplied
operator_determinant_section,trace_operator,determinant section row,trace_operators.csv,determinant_section,determinant_section_id,The trace operator must record the determinant square being inverted,missing_open_obligation,chapters/09_zbps_realization.tex:729,verified,no determinant section row supplied
operator_inverse_square,trace_operator,inverse-square operator row,trace_operators.csv,inverse_square,inverse_square_id,The protected scalar shadow is the inverse square and not the Pfaffian line,missing_open_obligation,chapters/09_zbps_realization.tex:731,verified,no inverse-square row supplied
operator_delta5_square,trace_operator,Delta5-square row,trace_operators.csv,delta5_square,delta5_square_id,The trace identity must separate Delta_5 from Delta_5 squared,missing_open_obligation,chapters/09_zbps_realization.tex:729,verified,no Delta5-square row supplied
operator_orientation_forgetting,trace_operator,orientation-forgetting row,trace_operators.csv,orientation_forgetting,orientation_forgetting_status=verified,The scalar trace forgets the orientation character,missing_open_obligation,chapters/09_zbps_realization.tex:741,verified,no orientation-forgetting row supplied
normalization_op_branch,scalar_normalization,OP chamber branch row,scalar_normalizations.csv,op_branch,op_branch_id,The OP scalar representative is a branch convention not the trace itself,missing_open_obligation,appendices/G_obstruction_discharges.tex:903,verified,no OP branch row supplied
normalization_leading_64,scalar_normalization,theta-leading coefficient row,scalar_normalizations.csv,leading_coefficient,leading_coefficient=64,The trace normalization uses the type-II Borcherds leading coefficient,missing_open_obligation,chapters/09_zbps_realization.tex:734,verified,no leading coefficient row supplied
