firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_prequotient_definition_only,prequotient_definition_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:e-equivariant-wrapped-prequotient-stack,verified,row 219 defines the stack but row 220 supplies finite type
firewall_retained_class_set_only,retained_class_set_only,true,0,chapters/02_k3xe_setup.tex:prop:retained-finite-class-bounds,verified,finiteness of C_R alone is not finite type of the stack
firewall_semistable_only,semistable_substack_only,true,0,chapters/02_k3xe_setup.tex:prop:retained-finite-type-semistable-substacks,verified,the wrapped prequotient also requires scalar rigidification
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:wrapped-prequotient-finite-type,verified,the finite-type proof is before the reduced E quotient
firewall_properness_claim,properness_claim,true,0,certificates/hybrid/wrapped_prequotient_finite_type/properness_rows.csv:1,verified,row 220 does not prove properness
firewall_anchor_population,anchor_population,true,0,certificates/hybrid/wrapped_prequotient_finite_type/anchor_population_rows.csv:1,verified,row 220 does not populate final anchors
firewall_anchor_losslessness,anchor_losslessness,true,0,certificates/hybrid/wrapped_prequotient_finite_type/anchor_losslessness_rows.csv:1,verified,row 220 does not prove anchor losslessness
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:wrapped-prequotient-finite-type,verified,a scalar trace cannot replace finite-type moduli
firewall_borcherds_s_degree,Borcherds_s_degree,true,0,chapters/05_subsections/05_1_hybrid.tex:def:geometric-borcherds-degree-comparison-datum,verified,the Borcherds trace coordinate is not a finite-type moduli proof
firewall_empty_hybrid_carrier,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,the aggregate hybrid carrier remains blocked
