firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_ordinary_ran,ordinary_Ran_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:mixed-local-wrapped-correspondence-datum,verified,mixed arrows require the wrapped carrier
firewall_quotient_first,quotient_first_hall_product,true,0,chapters/05_subsections/05_1_hybrid.tex:cor:no-quotient-first-hybrid-repair,verified,mixed arrows are unreduced before E quotient
firewall_local_local,local_local_as_mixed,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1164,verified,row 210 is separate
firewall_wrapped_wrapped,wrapped_wrapped_as_mixed,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1163,verified,row 209 is separate
firewall_two_sided,two_sided_mixed_as_one_sided,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1165,verified,row 211 is separate
firewall_fock,scalar_Fock_factor,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar factor is not an extension correspondence stack
firewall_determinant_anchor,determinant_anchor_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,the determinant anchor alone is not a mixed correspondence
firewall_borcherds_degree,Borcherds_s_degree,true,0,certificates/hybrid/geometric_borcherds_degree_separation/README.md:1,verified,the trace exponent does not define the mixed extension stack
firewall_degree_shadow,degree_shadow_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-ran-prestack,verified,the degree shadow is not a correspondence diagram
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no mixed correspondence rows
