obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,beta_vanishing_status,proof_reference,check_status,notes
beta_value,row_285,computed_beta_value,beta_values.csv,beta_value_row,beta_H_in_H2_BH_F2,row_286_requires_the_computed_class_before_zero_can_be_checked,missing_open_obligation,certificates/orientation/rhomred_finite_stabilizer_beta/blocked_obligations.csv,verified,no_beta_value_row_supplied
edge_reduction,row_285,Borel_edge_reduction,finite_stabilizers.csv,edge_reduction_row,ordinary_mixed_and_incoming_differentials_accounted,zero_template_applies_only_after_edge_reduction,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,no_edge_reduction_row_supplied
odd_or_trivial_zero_row,row_286,odd_or_trivial_zero_row,finite_stabilizers.csv,odd_or_trivial_zero,H2_BH_zero_after_edge_reduction,order_one_or_odd_template_needs_a_supplied_edge_row,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,no_order_one_zero_row_supplied
klein_four_zero_coordinates,row_286,Klein_four_zero_coefficients,finite_stabilizers.csv,klein_four_zero,b20_b11_b02_equal_zero,E2_vanishing_requires_three_quadratic_zero_coefficients,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,no_klein_four_zero_row_supplied
two_primary_zero_coordinates,row_286,two_primary_zero_coefficients,finite_stabilizers.csv,two_primary_zero,A1_A12_A2_equal_zero,two_primary_vanishing_requires_A12_not_cyclic_only,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,no_two_primary_zero_row_supplied
all_retained_h_coverage,row_286,all_retained_H_coverage,beta_vanishing_rows.csv,coverage_row,every_retained_H_checked,row_286_is_universal_over_retained_finite_stabilizers,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,no_all_retained_H_zero_coverage_row_supplied
beta_vanishing,row_286,beta_zero_statement,beta_vanishing_rows.csv,beta_zero_row,beta_H_equals_zero_for_every_retained_H,row_286_is_open_until_all_zero_conditions_are_verified,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1369,verified,no_beta_vanishing_row_supplied
beta_null_trivialization,row_287,beta_null_trivialization,beta_nulltrivialization_rows.csv,cochain_row,compatible_null_trivializations_under_subgroup_restriction,row_287_is_stronger_than_row_286,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1374,verified,no_beta_null_trivialization_row_supplied
linearization_character,row_288,finite_stabilizer_linearization,finite_linearization_rows.csv,lambda_row,lambda_H_in_H1_BH_F2,linearization_is_independent_degree_one_data,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1381,verified,no_linearization_row_supplied
linearization_vanishing,row_289,zero_linearization_character,finite_linearization_rows.csv,lambda_zero_row,lambda_H_equals_zero,row_289_is_separate_from_beta_vanishing,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1382,verified,no_linearization_zero_row_supplied
transition_compatibility,O1,successor_transport,transitions.csv,finite_stabilizer_transition_row,beta_zero_transport_under_successors,O1_needs_compatible_finite_stabilizer_data,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,no_transition_row_supplied
vanishing_cycle_complex,O1,BBDJS_complex,vanishing_cycles.csv,finite_stabilizer_orientation_payload,reduced_vanishing_cycle_coefficients,orientation_data_needed_before_vanishing_cycles,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-vanishing-criterion,verified,no_vanishing_cycle_row_supplied
protected_integration,O1,protected_integral,protected_integration.csv,finite_stabilizer_orientation_payload,protected_trace_after_orientation,scalar_shadow_requires_orientation_data,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,no_protected_integration_row_supplied
