obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_simple_representatives,compact_Hall,source_simple_representatives,simple_representatives.csv,simple_representative,e_i_f_i_h_i_rows_with_parity_and_degrees,Chevalley_antiinvolution_must_exchange_source_simple_representatives,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_simple_representative_rows_supplied
positive_negative_source_charts,compact_Hall,positive_negative_source_charts,chevalley_antiinvolution_rows.csv,source_chart_pair,retained_source_charts_for_gamma_and_minus_gamma,antiinvolution_is_a_source_map_between_opposite_root_charts,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_positive_negative_chart_pair_rows_supplied
source_bracket_matrix,compact_Hall,source_bracket_matrix,B_entries.csv,B_entry,source_B_matrix_for_bracket_anti_multiplicativity,antiinvolution_requires_a_source_bracket_not_only_target_relations,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_B_entries_supplied
source_chevalley_relation_rows,relations,source_Chevalley_relation_rows,relation_rows.csv,chevalley_relation,Cartan_Chevalley_real_Serre_Borcherds_and_super_sign_relations,relations_must_hold_in_the_compact_source_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_relation_rows_supplied
cartan_orientation_rows,orientation,Cartan_orientation_rows,chevalley_antiinvolution_rows.csv,cartan_orientation,Cartan_fixed_orientation_and_h_i_fixed_rows,Chevalley_antiinvolution_fixes_Cartan_orientation,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_Cartan_orientation_rows_supplied
source_pairing_matrix,hopf_pairing,source_positive_negative_Hopf_pairing,G_entries.csv,G_entry,G_gamma_pairing_positive_and_negative_blocks,antiinvolution_must_be_adjoint_for_the_source_Hopf_pairing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_G_entries_supplied
radical_quotient,radical,source_radical_quotient_rows,K_entries.csv,radical_quotient,radical_stability_and_quotient_nondegeneracy_rows,antiinvolution_is_checked_after_quotienting_by_the_recorded_radical,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_radical_quotient_rows_supplied
parity_preservation,source_parity,source_parity_preservation_rows,parity_blocks.csv,parity_block,even_antiinvolution_preserves_source_parity_blocks,orientation_signs_depend_on_parity_preservation,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_parity_blocks_supplied
orientation_square_roots,orientation_line,positive_and_negative_orientation_square_roots,chevalley_antiinvolution_rows.csv,orientation_square_roots,o_gamma_and_o_minus_gamma_square_to_determinants,antiinvolution_on_orientation_data_must_lift_to_Joyce_Upmeier_orientation_lines,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_orientation_square_root_rows_supplied
determinant_duality_square,orientation_line,determinant_duality_square,chevalley_antiinvolution_rows.csv,determinant_duality_square,orientation_square_roots_commute_with_dual_determinant_identity,orientation_lift_must_commute_with_determinant_duality,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-chevalley-antiinvolution,verified,no_determinant_duality_square_row_supplied
