obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
populated_product_rows,hall_product,populated_product_operator_rows,certificates/hall/finite_hall_product_operator/product_operator_rows.csv,product_operator_row,four_binary_product_legs_for_c1_c2_c3,associativity_compares_actual_product_legs_not_notation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_product_operator_rows_supplied
compact_hall_two_step_flag_stack,flag_stack,compact_Hall_two_step_flag_stack,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,two_step_flag_stack,F_ret_R_c1_c2_c3_with_left_and_right_parenthesizations,the_common_flag_stack_is_the_geometric_source_of_the_associativity_comparison,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_compact_Hall_flag_stack_row_supplied
base_change_rows,six_functor,base_change_isomorphism_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/base_change_rows.csv,base_change_row,base_change_for_left_and_right_iterated_correspondence_squares,the_two_parenthesizations_are_compared_after_base_change_to_the_common_flag_stack,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_base_change_rows_supplied
projection_formula_rows,six_functor,projection_formula_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/projection_formula_rows.csv,projection_formula_row,projection_formula_for_the_product_coefficients_on_the_flag_square,coefficient_transport_through_pushforward_requires_projection_formula_rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_projection_formula_rows_supplied
reduced_thom_sebastiani_rows,coefficient,reduced_TS_associativity_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/thom_sebastiani_rows.csv,ts_row,TSred_left_parenthesization_equals_TSred_right_parenthesization_on_F_ret,the_two_coefficients_on_the_common_flag_stack_must_be_identified,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_TS_rows_supplied
compactification_independent_final_pushforward,six_functor,final_pushforward_independence_rows,certificates/hall/finite_hall_product_compactification_independence/independence_rows.csv,independence_row,left_and_right_final_q_bang_pushforwards_identified,row346_uses_row345_for_the_final_pushforward_comparison,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,row345_independence_rows_empty
quotient_descent_rows,e_quotient,quotient_descent_for_associativity,certificates/hybrid/eight_word_two_step_flag_stacks/quotient_descent_rows.csv,quotient_descent_row,E_quotient_descent_of_flag_associativity,compact_reduced_Hall_product_needs_descent_after_flag_comparison,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_quotient_descent_rows_supplied
transition_rows,filtered_system,associativity_transition_rows,certificates/hybrid/eight_word_two_step_flag_stacks/transition_rows.csv,transition_row,R_to_Rplus_associativity_compatibility,the_pro_object_product_requires_associativity_compatible_with_transitions,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_transition_rows_supplied
product_matrix_rows,matrix,source_product_matrix_rows,certificates/sources/k3e_compact_hall/M_entries.csv,product_matrix,finite_source_product_constants_in_homogeneous_bases,matrix_associativity_requires_product_matrix_entries,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_M_entries_supplied
hall_bialgebra_associativity_rows,hall_bialgebra,associativity_identity_rows,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,associativity_identity,zero_associativity_defect_rank_for_M_R,the_compact_source_ledger_needs_explicit_associativity_identity_rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_bialgebra_identity_rows_supplied
hybrid_to_compact_population,aggregate,populate_compact_Hall_from_hybrid_flags,certificates/hybrid/eight_word_two_step_flag_stacks/aggregate_population_rows.csv,population_row,hybrid_flag_and_wordwise_rows_inserted_into_compact_Hall_carrier,hybrid_conditional_packets_do_not_populate_the_compact_Hall_product,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-product-associativity-two-step-flags,verified,no_aggregate_population_rows_supplied
