obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,tau_square_status,proof_reference,check_status,notes
tau_transport_rows,weyl_transport,supplied_tau_i_transports,weyl_lifts.csv,lift_matrix_id,tau_i_and_tau_i_on_reflected_stratum,row_307_starts_after_row_306_constructs_actual_lifts,missing_open_obligation,certificates/orientation/rhomred_weyl_wall_transport_tau/blocked_obligations.csv,verified,no_tau_transport_rows_supplied
double_reflection_source_loop,weyl_transport,double_reflection_source_loop,weyl_lifts.csv,double_loop,s_delta_i_s_delta_i_source_correspondence_identifies_S_with_S,target_involution_must_be_realized_by_a_source_loop,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-wall-transport-tau-square,verified,no_double_source_loop_row_supplied
determinant_square_compatibility,orientation_line,determinant_square_identity_around_loop,weyl_lifts.csv,determinant_square_loop,(tau_i_composite)_tensor_square_equals_identity_on_det_K_red,square_root_transport_must_preserve_the_reduced_determinant,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-wall-transport-tau-square,verified,no_determinant_square_loop_row_supplied
quotient_loop_transport,quotient_borel,quotient_cocycle_loop_transport,weyl_lifts.csv,quotient_cocycle_loop,mathfrak_q_returns_to_itself_after_two_wall_steps,O1_plus_requires_the_full_quotient_orientation_package_to_return,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_quotient_loop_transport_row_supplied
finite_stabilizer_loop,finite_stabilizer,finite_stabilizer_loop_transport,weyl_lifts.csv,finite_stabilizer_loop,beta_H_edge_data_returns_with_defect_zero,finite_stabilizer_Borel_data_are_part_of_the_orientation_lift,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_finite_stabilizer_loop_row_supplied
linearization_loop,finite_stabilizer,linearization_loop_transport,weyl_lifts.csv,linearization_loop,lambda_H_zero_returns_with_defect_zero,the_H1_linearization_character_can_obstruct_tau_square,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_linearization_loop_row_supplied
line_automorphism_identity,orientation_line,residual_line_automorphism_identity,weyl_lifts.csv,line_automorphism_identity,composite_tau_i_is_identity_not_only_square_identity_on_determinant,a_square_root_line_has_a_residual_sign_automorphism,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-wall-transport-tau-square,verified,no_residual_sign_row_supplied
tau_square_defect_zero,weyl_transport,tau_square_defect_zero,weyl_lifts.csv,tau_square,tau_square_defect_rank_zero,this_is_the_finite_matrix_row_asserting_tau_i_squared_equals_identity,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_tau_square_row_supplied
coxeter_coherence_later,weyl_transport,remaining_Coxeter_coherence,coxeter_cocycles.csv,coxeter_coherence,projective_cocycle_and_no_braid_rows_for_all_words,row_307_is_only_the_generator_square_before_rows_308_to_311,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_coxeter_rows_supplied
no_scalar_tau_square_substitution,firewall,scalar_or_target_firewall,scalar_firewall.csv,scalar_tau_square_substitution_excluded,excludes_target_reflection_square_Maass_square_scalar_trace_and_pfaffian_sign_as_tau_i_squared_equals_one,prevents_target_or_scalar_rows_from_being_read_as_lift_involutivity,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-wall-transport-tau-square,verified,firewall_rows_supplied_but_tau_square_absent
