firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_ordinary_ran_uncoloured,ordinary_Ran_uncoloured,true,0,chapters/05_subsections/05_1_hybrid.tex:def:local-local-correspondence-datum,verified,LL arrows use coloured local closed incidence stacks
firewall_wrapped_input,hybrid_wrapped_input,true,0,chapters/05_subsections/05_1_hybrid.tex:def:local-local-correspondence-datum,verified,LL arrows have no wrapped input
firewall_quotient_first,quotient_first_hall_product,true,0,chapters/05_subsections/05_1_hybrid.tex:cor:no-quotient-first-hybrid-repair,verified,LL arrows are defined on local incidence stacks before any global hybrid quotient product
firewall_mixed,mixed_as_local_local,true,0,certificates/hybrid/mixed_local_wrapped_correspondence_definition/README.md:1,verified,row 208 is separate
firewall_wrapped_wrapped,wrapped_wrapped_as_local_local,true,0,certificates/hybrid/wrapped_wrapped_correspondence_definition/README.md:1,verified,row 209 is separate
firewall_two_sided,two_sided_mixed_as_local_local,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1165,verified,row 211 is separate
firewall_fock,scalar_Fock_factor,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar factor is not an extension correspondence stack
firewall_borcherds_degree,Borcherds_s_degree,true,0,certificates/hybrid/geometric_borcherds_degree_separation/README.md:1,verified,the trace exponent does not define the LL extension stack
firewall_degree_shadow,degree_shadow_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-ran-prestack,verified,the degree shadow is not a correspondence diagram
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no LL correspondence rows
