firewall_id,forbidden_substitute,excluded,defect_rank,proof_reference,check_status,notes
firewall_notation,notation_C_XR,true,0,prop:conilpotent-source-coalgebra-firewall,verified,the symbol C_X_R is not a coalgebra construction
firewall_bar,formal_bar_coalgebra_language,true,0,prop:conilpotent-source-coalgebra-firewall,verified,formal bar language does not supply compact retained rows
firewall_target,target_bkm_denominator,true,0,prop:conilpotent-source-coalgebra-firewall,verified,target BKM data do not construct source coalgebra maps
firewall_stable,stable_envelope_transport,true,0,prop:conilpotent-source-coalgebra-firewall,verified,row 368 transport data do not substitute for source coalgebra rows
firewall_double,drinfeld_double,true,0,prop:conilpotent-source-coalgebra-firewall,verified,Drinfeld double comparison does not define C_X_R
firewall_primitive_lim1,primitive_space_lim1,true,0,prop:conilpotent-source-coalgebra-firewall,verified,primitive ML ledger does not build the source coalgebra tower
firewall_pairing_lim1,pairing_kernel_lim1,true,0,prop:conilpotent-source-coalgebra-firewall,verified,pairing-kernel ML ledger does not build C_X_R
firewall_ordinary_ran,ordinary_ran_only,true,0,prop:conilpotent-source-coalgebra-firewall,verified,ordinary Ran sector does not include wrapped and mixed source rows
firewall_empty,compact_source_empty,true,0,prop:conilpotent-source-coalgebra-firewall,verified,empty compact-source ledger cannot substitute for C_X_R
firewall_boundedness,finite_type_boundedness,true,0,prop:conilpotent-source-coalgebra-firewall,verified,boundedness alone does not supply coproduct or conilpotence identities
