obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,primitive_projection_descent_status,proof_reference,check_status,notes
quotient_orientation_rows,orientation,descended_quotient_orientation_rows,quotient_borel.csv,quotient_orientation,o_R_with_quotient_cocycle_trivialized,primitive_projection_descent_needs_the_orientation_line_to_descend_on_ambient_zero_and_splitting_strata,missing_open_obligation,certificates/orientation/rhomred_orientation_e_quotient_descent/blocked_obligations.csv,verified,no_quotient_orientation_rows_supplied
hall_coproduct_orientation_descent,orientation,oriented_Hall_coproduct_descent,coproduct_descent_obstruction_rows.csv,coproduct_descent_row,Q_E_Delta_K_equals_bar_Delta_Q_E_K,primitive_projection_uses_the_reduced_coproduct_kernel,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,row_304_is_only_a_criterion
unit_counit_orientation_descent,orientation,oriented_unit_and_counit_descent,unit_counit.csv,unit_counit_descent,Q_E_eta_epsilon_equals_bar_eta_bar_epsilon_Q_E,primitive_projection_is_intersection_with_the_counit_kernel,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv,verified,no_unit_or_counit_descent_rows_supplied
source_hall_coproduct_row,hall_coproduct,compact_Hall_coproduct_matrix,D_entries.csv,coproduct_matrix,finite_source_coproduct_constants_with_geometric_splitting_correspondence_ids,row_305_needs_the_matrix_defining_the_reduced_coproduct,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv,verified,no_D_entries_supplied
source_counit_row,hall_coproduct,compact_Hall_counit,unit_counit.csv,counit,finite_counit_entries_for_zero_object_augmentation,counit_kernel_is_part_of_the_primitive_subobject,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv,verified,no_counit_entries_supplied
source_reduced_coproduct_matrix,hall_coproduct,source_reduced_coproduct_matrix,primitive_kernel_rows.csv,reduced_coproduct,Delta_minus_eta_epsilon_terms,primitive_kernel_is_defined_by_the_reduced_coproduct_not_the_raw_coproduct,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/blocked_obligations.csv,verified,no_reduced_coproduct_matrix_supplied
source_primitive_kernel,primitive_kernel,source_primitive_kernel_row,primitive_kernel_rows.csv,source_kernel,basis_for_kernel_of_reduced_Delta_and_epsilon,the_projection_idempotent_has_no_target_without_a_kernel_row,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/blocked_obligations.csv,verified,no_source_primitive_kernel_row_supplied
primitive_projection_matrix,primitive_projection,primitive_projection_matrix,primitive_transition_matrices.csv,primitive_projection,finite_idempotent_or_inclusion_projection_data_for_the_primitive_kernel,row_305_is_a_projection_square_not_only_a_kernel_inclusion,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/blocked_obligations.csv,verified,no_primitive_projection_matrix_supplied
kernel_intertwining_identity,quotient_after_correspondence,primitive_kernel_intertwining,kernel_intertwining_rows.csv,kernel_intertwining,Q_E_intertwines_reduced_coproduct_and_counit_kernels,theta_primitive_applies_only_after_the_source_kernel_rows_exist,missing_open_obligation,certificates/hybrid/quotient_after_correspondence_theta_mu_primitives/kernel_intertwining_rows.csv,verified,available_conditionally_not_tied_to_orientation_rows
projection_commutator_identity,quotient_after_correspondence,primitive_projection_commutator,primitive_projection_rows.csv,projection_commutator,bar_pi_theta_equals_theta_Prim_QE_pi,the_square_in_row_305_is_this_commutator_after_orientation_descent,missing_open_obligation,certificates/hybrid/quotient_after_correspondence_theta_mu_primitives/primitive_projection_rows.csv,verified,available_conditionally_not_an_orientation_row
transition_primitive_compatibility,transition,primitive_subspace_transition_compatibility,primitive_transition_matrices.csv,restricted_transition,transition_maps_preserve_primitive_kernels_and_projections,the_pro_object_needs_primitive_projection_to_commute_with_R_prime_to_R,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/blocked_obligations.csv,verified,transition_tables_empty
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_with_orientation_coefficients,primitive_projection_coefficients_are_Phi_red_tensor_o_not_orientation_only,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,vanishing_cycle_complex_not_supplied
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,primitive_projection_descent_does_not_define_the_Pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
