firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
FW_closed_extension_closure,extension_closure,true,0,retained closed-substack packet,verified,closed substack rows do not prove extension closure
FW_closed_hn_factor_closure,hn_factor_closure,true,0,retained closed-substack packet,verified,closed substack rows do not prove HN-factor closure
FW_closed_dual_closure,dual_closure,true,0,retained closed-substack packet,verified,dual closure is supplied by the retained dual-closure packet and not by closed-substack rows
FW_closed_extension_flags,extension_flag_stacks,true,0,retained closed-substack packet,verified,closed substack rows do not construct extension or flag stacks
FW_closed_cosection_atlas,cosection_atlas,true,0,retained closed-substack packet,verified,closed substack rows do not construct a cosection atlas
FW_closed_transitions,transitions,true,0,retained closed-substack packet,verified,closed substack rows do not construct finite-moduli transitions
FW_closed_scalar_firewall,scalar_firewall,true,0,retained closed-substack packet,verified,closed substack rows are not the global finite-moduli scalar firewall
FW_closed_compact_hall_stage,compact_hall_stage,true,0,retained closed-substack packet,verified,closed substack rows do not construct compact Hall support
FW_closed_pfaffian_orientation,pfaffian_orientation,true,0,retained closed-substack packet,verified,closed substack rows do not construct a Pfaffian orientation
FW_closed_protected_trace,protected_trace,true,0,retained closed-substack packet,verified,closed substack rows do not construct a protected trace
