firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_determinant_anchor_only,determinant_anchor_only,true,0,chapters/02_k3xe_setup.tex:def:determinant-anchor,verified,determinant anchor is only the Abel-sum projection
firewall_extra_anchor_only,extra_anchor_data_only,true,0,certificates/hybrid/determinant_anchor_extra_anchor_data/README.md:1,verified,the Jordan-Hoelder divisor does not define unit weight losslessness multiplicativity or transition compatibility
firewall_source_target_memory,source_target_memory_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:source-target-anchor-memory-datum,verified,source-target memory assumes anchors and does not define residual vanishing
firewall_chi_zero,chi_zero_degeneracy_only,true,0,certificates/hybrid/determinant_anchor_chi_zero_degeneracy/README.md:1,verified,chi-zero degeneracy only proves determinant-anchor failure
firewall_first_window,first_window_vanishing,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1177,verified,row 218 is the first-window vanishing proof
firewall_quotient_descent,quotient_descent,true,0,chapters/05_subsections/05_1_hybrid.tex:def:finite-anchor-residual,verified,quotient descent is not part of the residual definition
firewall_stabilizer,stabilizer_linearization,true,0,chapters/02_k3xe_setup.tex:rem:translation-linearization-criterion,verified,stabilizer linearization is not chosen by defining the residual
firewall_fock,scalar_Fock_factor,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar Fock factor is not repaired anchor data
firewall_borcherds_degree,Borcherds_s_degree,true,0,certificates/hybrid/geometric_borcherds_degree_separation/README.md:1,verified,the Borcherds trace degree is not an anchor residual
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty aggregate carrier does not populate repaired anchors
