relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
hn_type_words_imported,input_coverage,7,7,0,retained HN type-bound packet,verified,seven retained HN words imported
nonzero_hn_words_checked,input_coverage,6,6,0,retained HN-factor-closure packet,verified,six nonzero HN words checked
factor_types_imported,input_coverage,3,3,0,retained HN type-bound packet,verified,three retained semistable factor types imported
class_rows_imported,input_coverage,3,3,0,retained class-bound packet,verified,three retained class rows imported
closed_substacks_imported,input_coverage,3,3,0,retained closed-substack packet,verified,three retained closed substacks imported
extension_closure_imported,input_coverage,4,4,0,retained extension-closure packet,verified,four extension-closure rows imported
hn_factor_rows_defined,factor_coverage,10,10,0,retained HN-factor-closure packet,verified,ten HN factor occurrence rows supplied
factor_occurrences_retained,factor_coverage,10,10,0,retained HN-factor-closure packet,verified,every HN factor occurrence is retained
hn_factor_closure_defects_zero,defect_check,10,10,0,retained HN-factor-closure packet,verified,HN-factor closure defects vanish
hn_factor_closure_mirrored,finite_moduli_mirror,10,10,0,retained HN-factor-closure packet,verified,HN-factor closure rows mirrored into finite-moduli packet
extension_flag_stacks_not_proved,limitation,0,0,0,retained HN-factor-closure packet,verified,HN-factor closure rows do not construct extension or flag stacks
subquotient_closure_not_proved,limitation,0,0,0,retained HN-factor-closure packet,verified,subquotient closure in flag stacks remains open
dual_closure_not_proved,limitation,0,0,0,retained HN-factor-closure packet,verified,dual closure is supplied by the retained dual-closure packet and not by HN-factor closure
finite_hall_stage_not_proved,limitation,0,0,0,retained HN-factor-closure packet,verified,HN-factor closure rows do not construct the finite Hall stage
