obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,preservation_status,proof_reference,check_status,notes
source_target_alpha_red_cocycles,quotient_borel,source_and_target_alpha_red_cocycles,alpha_red_cocycles.csv,cocycle_row,a_red_R_S_and_a_red_R_sdeltaS_in_Z2,row_315_needs_actual_reduced_gerbe_cocycles_not_only_formula,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,row_280_values_absent
weyl_lift_cochain_map,weyl_transport,Weyl_Cech_Borel_cochain_map,weyl_lifts.csv,theta_matrix_row,Theta2_red_and_Theta3_red_on_reduced_gerbe_complexes,preservation_defect_cannot_be_formed_without_transport_matrices,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,row_306_transport_absent
degree_three_transport_defect_zero,cochain_transport,degree_three_cochain_map_check,preservation_rows.csv,closedness_check,d_Theta2_equals_Theta3_d_for_alpha_red_cocycles,closedness_of_transport_defect_needs_cochain_map_check,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,no_theta3_or_closedness_row_supplied
transport_defect_vector,cohomology,alpha_red_transport_defect_vector,preservation_rows.csv,transport_defect_cochain_id,Theta2_a_red_source_minus_a_red_target,row_315_proof_starts_with_this_defect_vector,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,no_defect_vector_supplied
coboundary_witness,linear_algebra,coboundary_witness,preservation_rows.csv,coboundary_witness_id,u_red_with_du_equals_Delta_red,class_preservation_requires_a_coboundary_witness_or_rank_certificate,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,no_coboundary_witness_supplied
zero_class_rank_certificate,linear_algebra,zero_class_rank_certificate,preservation_rows.csv,class_defect_rank,rank_of_Delta_red_mod_boundaries_equals_zero,this_is_the_row_315_class_preservation_proof,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,no_rank_zero_certificate_supplied
all_retained_wall_coverage,coverage,retained_wall_coverage,preservation_rows.csv,coverage_row,every_retained_i_R_S_checked,O1_plus_requires_all_retained_walls_not_one_sample,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,no_coverage_rows_supplied
row280_completion,dependency,row_280_alpha_red_complete,certificates/orientation/rhomred_alpha_red/manifest.json,alpha_red_values_computed_true,actual_alpha_red_cocycle_values,row_315_depends_on_actual_alpha_red_cocycles,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,row_280_manifest_has_alpha_red_values_computed_false
row281_nullhomotopy_input,dependency,row_281_nullhomotopy_complete,certificates/orientation/rhomred_alpha_red_nullhomotopy/manifest.json,null_homotopies_supplied_true,h_red_nullhomotopies,strict_quotient_orientation_gauge_needs_nullhomotopy_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,row_281_manifest_has_null_homotopies_supplied_false
row306_tau_transport,dependency,row_306_tau_constructed,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,tau_transport_constructed_true,tau_i_cochain_transport,Weyl_preservation_has_no_source_map_without_tau_i,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,row_306_manifest_has_tau_transport_constructed_false
row314_torsor_vanishing,dependency,row_314_torsor_vanishing,certificates/orientation/rhomred_weyl_orientation_torsor_defect_vanishing/manifest.json,all_torsor_defects_vanishing_proved_true,omega_i_R_S_zero,full_quotient_orientation_transport_needs_zero_torsor_defect,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,row_314_manifest_has_vanishing_false
row316_separation,scope,next_free_E_component,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_316,alpha_E_free_preservation_after_alpha_red,row_316_does_not_prove_row_315,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-red-preservation-criterion,verified,next_component_kept_separate
