obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_G_entries,hopf_pairing,source positive-negative pairing matrix,certificates/sources/k3e_compact_hall/G_entries.csv,G_entry,finite source pairing constants,the radical is defined from a supplied Hopf pairing,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_G_entries_supplied
source_K_entries,radical_quotient,source radical kernel matrix,certificates/sources/k3e_compact_hall/K_entries.csv,K_entry,finite radical basis for source G,the criterion applies to a supplied radical basis,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_K_entries_supplied
source_Q_entries,radical_quotient,source quotient splitting matrix,certificates/sources/k3e_compact_hall/Q_entries.csv,Q_entry,finite quotient splitting,the quotient tensor pairing uses quotient representatives,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_Q_entries_supplied
hopf_adjointness_defects,hopf_pairing,Hopf-adjointness defect rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,hopf_adjointness,zero defect rank for pairing product coproduct adjointness,this is the coideal proof input,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_adjointness_rows_supplied
quotient_tensor_nondegeneracy,hopf_pairing,quotient tensor nondegeneracy rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,quotient_nondegenerate,nondegenerate tensor pairing on quotient,the coideal proof kills the quotient tensor class using this input,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_tensor_nondegeneracy_rows_supplied
frobenius_cyclic_defects,hopf_pairing,Frobenius cyclic defect rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,frobenius_cyclic,zero defect rank for primitive Frobenius cyclic identity,this is the Lie-ideal proof input,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_Frobenius_rows_supplied
radical_coideal_rows,radical_quotient,radical coproduct coideal rows,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,coproduct_coideal,zero quotient coproduct of radical basis,the conclusion must be recorded as a finite source row,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_coideal_rows_supplied
radical_lie_ideal_rows,radical_quotient,radical Lie ideal rows,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,lie_ideal,zero bracket image modulo radical,the conclusion must be recorded as a finite source row,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_lie_ideal_rows_supplied
quotient_hopf_pairing_rows,radical_quotient,quotient Hopf-pairing rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,quotient_hopf_pairing,descended bracket coproduct and pairing rows,the quotient carries Hopf data only after ideal and coideal stability are supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,no_quotient_Hopf_rows_supplied
source_vs_target_firewall,firewall,source-target radical firewall,scalar_firewall.csv,target_source_separation,target radical and BKM Hopf form cannot supply compact source radical stability,comparison occurs after source quotient construction,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:lem:hopf-radical-ideal-coideal,verified,target_shortcut_excluded
