coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,one_quotient_nondegeneracy_criterion_recorded
source_pairing_rows,compact_Hall_G_entries,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_source_pairing_matrix_rows_supplied
source_radical_rows,compact_Hall_K_entries,0,0,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,no_source_radical_kernel_rows_supplied
source_quotient_splitting_rows,compact_Hall_Q_entries,0,0,0,certificates/sources/k3e_compact_hall/Q_entries.csv,verified,no_source_quotient_splitting_rows_supplied
source_hopf_pairing_identity_rows,compact_Hall_hopf_pairing_identities,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no_quotient_nondegeneracy_identity_rows_supplied
radical_ideal_coideal_rows,compact_Hall_radical_ideal_coideal,0,0,0,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,verified,no_radical_ideal_or_coideal_rows_supplied
formal_pairing_degree_zero_rows,hall_pairing_pushforward,3,3,0,certificates/charge/hall_pairing_pushforward_compatibility/pairing_rows.csv,verified,three_formal_degree_zero_pairing_rows_are_not_quotient_nondegeneracy
negative_root_compatibility_rows,row333_negative_root_compatibility,0,0,0,certificates/orientation/rhomred_negative_root_orientation_compatibility/negative_root_compatibility_rows.csv,verified,row333_has_no_source_quotient_nondegeneracy_rows
frobenius_pairing_rows,row335_frobenius_pairing,0,0,0,certificates/orientation/rhomred_orientation_frobenius_pairing/frobenius_pairing_rows.csv,verified,row335_has_no_quotient_nondegeneracy_rows
serre_sign_rows,row337_serre_signs,0,0,0,certificates/orientation/rhomred_orientation_cy3_serre_signs/serre_sign_rows.csv,verified,row337_has_no_full_rank_rows
transition_radical_pairing_rows,transition_radical_preservation,0,0,0,certificates/hall/transition_radical_preservation/pairing_transition.csv,verified,no_pairing_transition_rows_supplied
transition_radical_kernel_rows,transition_radical_preservation,0,0,0,certificates/hall/transition_radical_preservation/radical_kernel_rows.csv,verified,no_radical_kernel_rows_supplied
transition_quotient_rows,transition_radical_preservation,0,0,0,certificates/hall/transition_radical_preservation/quotient_transition_matrices.csv,verified,no_quotient_transition_rows_supplied
pairing_kernel_maps,pairing_kernel_lim1,0,0,0,certificates/hall/pairing_kernel_lim1_vanishing/pairing_maps.csv,verified,no_pairing_map_rows_supplied
pairing_kernel_spaces,pairing_kernel_lim1,0,0,0,certificates/hall/pairing_kernel_lim1_vanishing/pairing_kernel_spaces.csv,verified,no_pairing_kernel_space_rows_supplied
pairing_kernel_ml_rows,pairing_kernel_lim1,0,0,0,certificates/hall/pairing_kernel_lim1_vanishing/pairing_kernel_ml_r1lim_defects.csv,verified,no_ML_or_R1lim_zero_rows_supplied
nondegeneracy_rows,nondegeneracy_rows,0,0,0,nondegeneracy_rows.csv,verified,no_source_quotient_nondegeneracy_rows_supplied
row339_orientation_limit_claim,row339_claim,0,0,0,blocked_obligations.csv,verified,row339_kept_open
