relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
derived_enhancements_imported,input,1,1,0,retained rigidification-inertia packet,verified,quasi-smooth derived enhancements are imported from item 168
one_rigidification_per_substack,row_count,3,3,0,retained rigidification-inertia packet,verified,one scalar rigidification is supplied for each retained substack
automorphism_groups_named,row_count,3,3,0,retained rigidification-inertia packet,verified,automorphism groups are named for each rigidification
scalar_gm_removed,row_count,3,3,0,retained rigidification-inertia packet,verified,the scalar G_m is removed on each retained substack
residual_inertia_finite,row_count,3,3,0,retained rigidification-inertia packet,verified,residual inertia groups are finite
rigidification_defects_zero,defect_sum,0,0,0,retained rigidification-inertia packet,verified,rigidification defect ranks vanish
rigidifications_mirrored,row_count,3,3,0,retained rigidification-inertia packet,verified,rigidification rows are mirrored into the finite-moduli scaffold
universal_complexes_not_proved,firewall,1,1,0,retained rigidification-inertia packet,verified,universal complexes remain later rows
stratifications_not_proved,firewall,1,1,0,retained rigidification-inertia packet,verified,finite closed inertia stratifications remain later rows
finite_hall_stage_not_proved,firewall,1,1,0,retained rigidification-inertia packet,verified,full finite Hall stage remains open
