obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,nulltrivialization_status,proof_reference,check_status,notes
beta_cocycle,row_285,Cech_Borel_beta_cocycle,beta_cocycles.csv,cocycle_row,a_H_in_Z2_BH_F2,row_287_needs_a_representative_to_trivialize,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-nulltrivialization-criterion,verified,no_beta_cocycle_row_supplied
beta_zero_class,row_286,beta_zero_verification,beta_vanishing_rows.csv,zero_row,beta_H_equals_zero,row_287_requires_zero_class_before_a_primitive_can_be_validated,missing_open_obligation,certificates/orientation/rhomred_finite_stabilizer_beta_vanishing/blocked_obligations.csv,verified,no_beta_zero_row_supplied
one_cochain,row_287,beta_primitive,beta_nulltrivialization_rows.csv,one_cochain_row,h_H_in_C1_BH_F2,row_287_is_a_choice_of_primitives,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-nulltrivialization-criterion,verified,no_one_cochain_supplied
coboundary_equation,row_287,coboundary_defect_zero,beta_nulltrivialization_rows.csv,coboundary_row,delta_h_equals_a,row_287_needs_a_checked_coboundary_equation,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-nulltrivialization-criterion,verified,no_coboundary_defect_zero_row_supplied
subgroup_restriction_table,row_287,retained_subgroup_inclusions,subgroup_restrictions.csv,inclusion_row,K_to_H_for_retained_stabilizers,compatibility_is_quantified_over_retained_subgroup_inclusions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-nulltrivialization-criterion,verified,no_subgroup_inclusion_table_supplied
subgroup_cocycle_restriction,row_287,cocycle_restriction_check,subgroup_restrictions.csv,cocycle_restriction_row,res_iota_a_H_equals_a_K,cochain_compatibility_requires_matching_representatives,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-nulltrivialization-criterion,verified,no_cocycle_restriction_row_supplied
subgroup_cochain_comparison,row_287,comparison_zero_cochain,subgroup_restrictions.csv,comparison_zero_cochain_row,res_iota_h_H_minus_h_K_equals_delta_q,row_287_requires_comparison_cochains_under_restriction,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-nulltrivialization-criterion,verified,no_comparison_zero_cochain_supplied
chain_coherence,row_287,chain_coherence_defect_zero,subgroup_restrictions.csv,chain_row,q_iota_j_equals_q_j_plus_res_q_iota,compatibility_must_be_functorial_over_two_step_inclusions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-nulltrivialization-criterion,verified,no_chain_coherence_row_supplied
quotient_borel_row,O1,quotient_orientation_payload,quotient_borel.csv,quotient_borel_null_row,finite_stabilizer_Borel_null_data,quotient_orientation_needs_the_cochain_payload,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_quotient_borel_row_supplied
linearization_character,row_288,finite_stabilizer_linearization,finite_linearization_rows.csv,lambda_row,lambda_H_in_H1_BH_F2,linearization_is_independent_degree_one_data,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1381,verified,no_linearization_row_supplied
linearization_vanishing,row_289,zero_linearization_character,finite_linearization_rows.csv,lambda_zero_row,lambda_H_equals_zero,row_289_is_separate_from_beta_nulltrivialization,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1382,verified,no_linearization_zero_row_supplied
transition_compatibility,O1,successor_transport,transitions.csv,finite_stabilizer_transition_row,nulltrivialization_transport_under_successors,O1_needs_compatible_finite_stabilizer_data_across_R,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,no_transition_row_supplied
vanishing_cycle_complex,O1,BBDJS_complex,vanishing_cycles.csv,finite_stabilizer_orientation_payload,reduced_vanishing_cycle_coefficients,orientation_data_needed_before_vanishing_cycles,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-beta-nulltrivialization-criterion,verified,no_vanishing_cycle_row_supplied
protected_integration,O1,protected_integral,protected_integration.csv,finite_stabilizer_orientation_payload,protected_trace_after_orientation,scalar_shadow_requires_orientation_data,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,no_protected_integration_row_supplied
