obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,linearization_vanishing_status,proof_reference,check_status,notes
lambda_value,row_288,computed_lambda_value,finite_linearization_rows.csv,lambda_value_row,lambda_H_in_H1_BH_F2,row_289_requires_the_computed_character_before_zero_can_be_checked,missing_open_obligation,certificates/orientation/rhomred_finite_stabilizer_linearization_character/blocked_obligations.csv,verified,no_lambda_value_row_supplied
lambda_character,row_288,computed_linearization_character,finite_linearization_rows.csv,lambda_character_row,lambda_H_computed_for_every_retained_H,row_289_is_after_row_288_computation,missing_open_obligation,certificates/orientation/rhomred_finite_stabilizer_linearization_character/blocked_obligations.csv,verified,no_lambda_character_row_supplied
trivial_or_odd_zero_row,row_289,trivial_or_odd_zero_row,finite_linearization_rows.csv,trivial_or_odd_zero,H1_BH_zero_after_computed_lambda_row,zero_template_applies_only_after_retained_lambda_row,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-vanishing-criterion,verified,no_order_one_zero_linearization_row_supplied
klein_four_zero_coordinates,row_289,Klein_four_zero_coefficients,finite_linearization_rows.csv,klein_four_lambda_zero,lambda1_lambda2_equal_zero,E2_zero_linearization_requires_lambda1_and_lambda2_zero,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-vanishing-criterion,verified,no_klein_four_zero_linearization_row_supplied
two_primary_zero_coordinates,row_289,two_primary_zero_coefficients,finite_linearization_rows.csv,two_primary_lambda_zero,lambda1_lambda2_equal_zero,two_primary_zero_linearization_requires_mod2_generator_coordinates,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-vanishing-criterion,verified,no_two_primary_zero_linearization_row_supplied
all_retained_h_coverage,row_289,all_retained_H_coverage,finite_linearization_rows.csv,coverage_row,every_retained_H_checked,row_289_is_universal_over_retained_finite_stabilizers,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-vanishing-criterion,verified,no_all_retained_H_zero_linearization_coverage_row_supplied
lambda_vanishing,row_289,zero_linearization_character,finite_linearization_rows.csv,lambda_zero_row,lambda_H_equals_zero,row_289_is_open_until_all_zero_conditions_are_verified,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1384,verified,no_lambda_zero_row_supplied
gerbe_independence,row_290,degree_separation_firewall,linearization_firewall.csv,independence_row,beta_zero_does_not_imply_lambda_zero,row_290_records_the_degree_separation_as_a_firewall,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1390,verified,row_290_not_yet_supplied
quotient_borel_row,O1,quotient_orientation_payload,quotient_borel.csv,linearization_zero_row,finite_stabilizer_zero_linearization_payload,quotient_orientation_needs_zero_linearization_payload,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_quotient_borel_zero_linearization_row_supplied
transition_compatibility,O1,successor_transport,transitions.csv,linearization_transport_row,lambda_H_equals_zero_transport_under_successors,O1_needs_compatible_zero_linearization_data_across_R,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,no_linearization_transport_row_supplied
vanishing_cycle_complex,O1,BBDJS_complex,vanishing_cycles.csv,finite_stabilizer_orientation_payload,reduced_vanishing_cycle_coefficients,orientation_data_needed_before_vanishing_cycles,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:finite-stabilizer-linearization-vanishing-criterion,verified,no_vanishing_cycle_row_supplied
protected_integration,O1,protected_integral,protected_integration.csv,finite_stabilizer_orientation_payload,protected_trace_after_orientation,scalar_shadow_requires_orientation_data,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,no_protected_integration_row_supplied
