obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,lift_status,proof_reference,check_status,notes
compact_hall_source,hall,compact_Hall_source_rows,certificates/sources/k3e_compact_hall/degrees.csv,compact_source_degree,retained_compact_Hall_stack_and_basis_rows,semidirect_lifts_act_on_compact_source_Hall_data_not_target_roots,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,compact_Hall_source_empty_blocked
hall_product_compatibility,hall,Hall_product_compatibility,certificates/sources/k3e_compact_hall/M_entries.csv,product_matrix,S3_lifts_intertwine_Hall_product,row325_lift_must_be_a_Hall_action_not_only_stack_map,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_M_entries_supplied
hall_coproduct_compatibility,hall,Hall_coproduct_compatibility,certificates/sources/k3e_compact_hall/D_entries.csv,coproduct_matrix,S3_lifts_intertwine_Hall_coproduct,primitive_subspace_transport_uses_coproduct_compatibility,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_D_entries_supplied
partial_action_groupoid_objects,groupoid,type_II_source_groupoid_objects,certificates/orientation/rhomred_weyl_partial_action_groupoid/groupoid_object_rows.csv,object_row,retained_oriented_source_strata,semidirect_action_extends_the_type_II_source_groupoid,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_groupoid_object_rows_supplied
partial_action_groupoid_arrows,groupoid,type_II_source_groupoid_arrows,certificates/orientation/rhomred_weyl_partial_action_groupoid/groupoid_arrow_rows.csv,arrow_row,type_II_tau_arrows_before_S3_conjugation,semidirect_conjugation_relations_need_existing_type_II_arrows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_groupoid_arrow_rows_supplied
type_i_chamber_source_lifts,hall,type_I_chamber_Hall_lifts,semidirect_lift_rows.csv,lift_row,H_sigma_R_S_correspondence_for_each_chamber_transposition,row325_is_exactly_the_construction_of_these_lifts,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_semidirect_lift_rows_supplied
orientation_line_transport,orientation,S3_orientation_line_transport,semidirect_lift_rows.csv,orientation_transport_row,theta_sigma_o_between_orientation_lines,orientation_character_extension_requires_line_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_orientation_transport_rows_supplied
determinant_square_compatibility,orientation,S3_determinant_square_compatibility,semidirect_lift_rows.csv,determinant_square_row,theta_sigma_o_tensor2_equals_determinant_transport,Joyce_Upmeier_orientation_extension_requires_square_root_compatibility,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_determinant_square_rows_supplied
quotient_orientation_transport,orientation,S3_quotient_orientation_transport,semidirect_lift_rows.csv,quotient_transport_row,S3_transports_alpha_beta_lambda_nulltrivialisations,compact_orientation_package_is_more_than_the_line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_quotient_transport_rows_supplied
s3_relations,group_action,S3_relation_rows,semidirect_relation_rows.csv,S3_relation_row,transposition_and_braid_relations_hold_on_Hall_lifts,three_individual_lifts_are_not_an_S3_action_without_relation_rows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_S3_relation_rows_supplied
semidirect_conjugation_relations,group_action,semidirect_conjugation_rows,semidirect_relation_rows.csv,conjugation_row,theta_sigma_tau_i_theta_sigma_inverse_equals_tau_sigma_i,the_semidirect_product_law_requires_conjugation_compatibility,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_conjugation_relation_rows_supplied
transition_compatibility,transition,transition_compatible_semidirect_lifts,semidirect_lift_rows.csv,transition_row,S3_lifts_commute_with_R_to_Rprime_transitions,pro_object_extension_requires_finite_stage_compatibility,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_transition_rows_supplied
inverse_limit_exactness,transition,R1lim_zero_for_semidirect_data,semidirect_relation_rows.csv,ML_row,R1lim_rank_zero_for_semidirect_Hall_orientation_data,global_extension_requires_inverse_limit_exactness,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,no_inverse_limit_rows_supplied
row326_separation,scope,imaginary_divisor_firewall,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_326,no_imaginary_divisor_monodromy_called_Weyl,row_326_is_separate_from_semidirect_Hall_lifts,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:semidirect-hall-lift-construction-criterion,verified,next_row_kept_separate
