obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
primitive_subspace_rows,primitive_kernel,primitive subspace rows,certificates/hall/finite_hall_primitive_subspace_definition/primitive_kernel_rows.csv,primitive_kernel,basis inclusion and projection for P_R,the closure statement starts with x and y in a supplied primitive basis,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,row353_kernel_rows_empty
product_matrix_rows,hall_product,source Hall product matrix,certificates/sources/k3e_compact_hall/M_entries.csv,product_matrix,finite product constants in primitive and ambient bases,the supercommutator is built from the product matrix,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,no_M_entries_supplied
coproduct_matrix_rows,hall_coproduct,source Hall coproduct matrix,certificates/sources/k3e_compact_hall/D_entries.csv,coproduct_matrix,finite coproduct constants in ambient bases,primitivity of the commutator is tested by the coproduct,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,no_D_entries_supplied
unit_counit_rows,hall_bialgebra,source unit and counit rows,certificates/sources/k3e_compact_hall/unit_counit.csv,unit_counit,unit vector and counit matrix for reduced coproduct and epsilon bracket test,the primitive formula uses both eta_R and epsilon_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,no_unit_or_counit_rows_supplied
associativity_rows,hall_bialgebra,associativity identity rows,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,associativity,zero associativity defect for the Hall product,the supercommutator bracket is a Lie operation only after product associativity,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,no_associativity_row_supplied
bialgebra_compatibility_rows,hall_bialgebra,bialgebra compatibility rows,certificates/hall/finite_hall_bialgebra_compatibility/compatibility_rows.csv,bialgebra_compatibility,Delta_R m_R equals signed m tensor m applied to Delta tensor Delta,the proof uses multiplicativity of Delta_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,row350_compatibility_rows_empty
counit_multiplicativity_rows,hall_bialgebra,counit multiplicativity rows,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,counit_multiplicativity,epsilon_R is an algebra homomorphism,the proof uses epsilon_R_of_commutator_equals_zero,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,no_counit_multiplicativity_row_supplied
primitive_closure_defect_rows,primitive_closure,primitive closure defect rows,primitive_closure_rows.csv,closure_defect,zero reduced-coproduct and counit defect for every primitive pair,this is the coordinate verification that the commutator lands in P_R,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,no_primitive_closure_rows_supplied
supercommutator_matrix_rows,primitive_bracket,source supercommutator matrix,certificates/sources/k3e_compact_hall/B_entries.csv,supercommutator_matrix,finite constants for x y minus Koszul y x in primitive bases,later recognition needs actual bracket matrices not only abstract closure,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,no_B_entries_supplied
graded_jacobi_rows,graded_lie,graded Jacobi defect rows,primitive_closure_rows.csv,jacobi_defect,zero graded Jacobi defect for primitive bracket,row354 proves closure only and row355 treats Jacobi separately,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:hall-bialgebra-defects-primitive-closure,verified,jacobi_not_claimed
