obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
integral_form_definition,integral_form,compact integral lattice,integral_form_rows.csv,integral_lattice,integral form in every retained degree,needed before integral Hall algebra is named as source datum,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
integral_form_product_stability,integral_form,product stability witnesses,integral_form_rows.csv,product_stability,m_R preserves integral lattice,needed for integral algebra structure,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
integral_form_coproduct_stability,integral_form,coproduct stability witnesses,integral_form_rows.csv,coproduct_stability,Delta_R preserves integral lattice,needed for integral coalgebra and double,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
integral_form_pairing_stability,integral_form,pairing stability witnesses,integral_form_rows.csv,pairing_stability,Hall pairing integral on the lattice,needed for Drinfeld pairing over the integral form,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
completion_separated,completion,separated completion,completion_rows.csv,separated_completion,intersection of neighborhoods is zero,needed before completed Hall algebra is Hausdorff,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
completion_complete,completion,complete completion,completion_rows.csv,complete_completion,Cauchy compatible finite stages have limits,needed before the completed double exists,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
drinfeld_double_definition,drinfeld_double,compact Drinfeld double,drinfeld_double_rows.csv,double_definition,positive negative and Cartan parts with completed tensor topology,needed before D_hbar(Y+(X)) is a theorem,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
drinfeld_cross_relations,drinfeld_double,cross-relation rows,drinfeld_double_rows.csv,cross_relation,commutator cross-relations encode Hall pairing,needed to identify the double with the Hall pairing,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
stable_envelope_transport,stable_envelope,compact stable-envelope transport,stable_envelope_rows.csv,transport_matrix,support normalization degree and chamber comparison on compact K3xE,needed before Maulik-Okounkov transport can be applied,missing_open_obligation,prop:integral-form-stable-envelope-transport-firewall;app:stable-envelope,verified,row 368 records absence
compact_non_toric_replacement,stable_envelope,non-toric replacement theorem,stable_envelope_rows.csv,compact_replacement,theorem replacing toric or quiver hypotheses in compact K3xE,needed to avoid importing a theorem outside its scope,missing_open_obligation,prop:integral-form-stable-envelope-transport-firewall;app:stable-envelope,verified,row 368 records absence
cyqg_comparison_constants,comparison,Calabi-Yau quantum-group comparison rows,drinfeld_double_rows.csv,comparison_constant,normalization signs constants and degree shifts,needed because a different constant or sign is a different theorem,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
cartan_part_definition,cartan,Cartan part of compact double,cartan_rows.csv,cartan_definition,Cartan generators and completed central part,needed before root lattice comparison,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
cartan_lattice_identification,cartan,lattice identification rows,cartan_rows.csv,lattice_identification,Cartan identified with Lambda_II^{2-1} tensor C,needed for BKM comparison,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
primitive_cartan_survival,cartan,primitive Cartan survival rows,cartan_rows.csv,primitive_survival,Cartan survives reduction and primitive quotient,needed for the double to recover the BKM Cartan,missing_open_obligation,def:integral-form-stable-envelope-comparison-datum,verified,row 368 records absence
toric_theorem_replacement,scope,scope replacement proof,stable_envelope_rows.csv,scope_replacement,proof that toric and quiver inputs have compact K3xE replacements,needed to avoid theorem import outside hypotheses,missing_open_obligation,prop:integral-form-stable-envelope-transport-firewall;app:stable-envelope,verified,row 368 records absence
