firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_ordinary_ran,ordinary_Ran_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:two-sided-mixed-correspondence-datum,verified,LWL arrows require a wrapped middle carrier
firewall_quotient_first,quotient_first_hall_product,true,0,chapters/05_subsections/05_1_hybrid.tex:cor:no-quotient-first-hybrid-repair,verified,LWL arrows are unreduced before E quotient
firewall_one_sided,one_sided_mixed_as_two_sided,true,0,certificates/hybrid/mixed_local_wrapped_correspondence_definition/README.md:1,verified,row 208 is separate
firewall_local_local,local_local_as_two_sided,true,0,certificates/hybrid/local_local_correspondence_definition/README.md:1,verified,row 210 is separate
firewall_wrapped_wrapped,wrapped_wrapped_as_two_sided,true,0,certificates/hybrid/wrapped_wrapped_correspondence_definition/README.md:1,verified,row 209 is separate
firewall_eight_word,eight_word_flag_atlas_as_two_sided,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1192,verified,row 228 and row 229 are separate
firewall_fock,scalar_Fock_factor,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar factor is not an extension flag stack
firewall_determinant_anchor,determinant_anchor_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,the determinant anchor alone is not a two-sided mixed correspondence
firewall_borcherds_degree,Borcherds_s_degree,true,0,certificates/hybrid/geometric_borcherds_degree_separation/README.md:1,verified,the trace exponent does not define the LWL flag stack
firewall_degree_shadow,degree_shadow_only,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-ran-prestack,verified,the degree shadow is not a correspondence diagram
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no two-sided mixed rows
