relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
ap_heart_formula_imported,definition,1,1,0,AP/Liu compatibility packet,verified,AP heart formula imported from Abramovich-Polishchuk and Liu
torsion_pair_in_ap_heart,definition,1,1,0,AP/Liu compatibility packet,verified,T_t and F_t are subcategories of A_E^{AP}
tilt_heart_defined,definition,1,1,0,AP/Liu compatibility packet,verified,A_E^t is the torsion-pair tilt
heart_of_sigma_equals_tilt,compatibility,1,1,0,AP/Liu compatibility packet,verified,heart(sigma_st) equals A_E^t by Liu's definition
retained_heart_equals_liu_tilt,compatibility,1,1,0,AP/Liu compatibility packet,verified,A_X^{AP/Liu} equals the Liu tilt by the retained-heart definition
ap_liu_compatibility,theorem,1,1,0,AP/Liu compatibility packet,verified,the retained heart is AP-compatible through the Liu tilt
noetherianity_not_proved,firewall,1,1,0,AP/Liu compatibility packet,verified,no noetherianity theorem is certified here
hn_filtrations_not_proved,firewall,1,1,0,AP/Liu compatibility packet,verified,no HN filtration theorem is certified here
bounded_hn_types_not_proved,firewall,1,1,0,AP/Liu compatibility packet,verified,no bounded HN type theorem is certified here
finite_moduli_not_proved,firewall,1,1,0,AP/Liu compatibility packet,verified,no finite semistable moduli construction is certified here
