obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
populated_coproduct_rows,hall_coproduct,populated_coproduct_operator_rows,certificates/hall/finite_hall_coproduct_operator/coproduct_operator_rows.csv,coproduct_operator_row,four_binary_coproduct_legs_for_c1_c2_c3,coassociativity_compares_actual_coproduct_legs_not_notation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_coproduct_operator_rows_supplied
compact_hall_two_step_splitting_flag_stack,flag_stack,compact_Hall_two_step_splitting_flag_stack,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,two_step_splitting_flag_stack,F_ret_R_c1_c2_c3_with_left_and_right_splittings,the_common_flag_stack_is_the_geometric_source_of_the_coassociativity_comparison,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_compact_Hall_flag_stack_row_supplied
base_change_rows,six_functor,base_change_isomorphism_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/base_change_rows.csv,base_change_row,base_change_for_left_and_right_iterated_splitting_squares,the_two_coproduct_parenthesizations_are_compared_after_base_change_to_the_common_flag_stack,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_base_change_rows_supplied
projection_formula_rows,six_functor,projection_formula_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/projection_formula_rows.csv,projection_formula_row,projection_formula_for_the_coproduct_coefficients_on_the_flag_square,coefficient_transport_through_pushforward_requires_projection_formula_rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_projection_formula_rows_supplied
inverse_thom_sebastiani_rows,coefficient,inverse_TS_coassociativity_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/thom_sebastiani_rows.csv,ts_inverse_row,TSred_inverse_left_parenthesization_equals_TSred_inverse_right_parenthesization_on_F_ret,the_two_coefficients_on_the_common_flag_stack_must_be_identified,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_inverse_TS_rows_supplied
compactification_independent_final_pushforward,six_functor,final_p_bang_independence_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,choice_independence_row,left_and_right_final_p_bang_pushforwards_identified,row349_requires_choice_independent_p_bang_pushforwards_to_the_triple_product,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_choice_independence_rows_supplied
quotient_descent_rows,e_quotient,quotient_descent_for_coassociativity,certificates/hybrid/eight_word_two_step_flag_stacks/quotient_descent_rows.csv,quotient_descent_row,E_quotient_descent_of_flag_coassociativity,compact_reduced_Hall_coproduct_needs_descent_after_flag_comparison,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_quotient_descent_rows_supplied
transition_rows,filtered_system,coassociativity_transition_rows,certificates/hall/transition_hall_coproduct_preservation/transition_defects.csv,transition_row,R_to_Rplus_coassociativity_compatibility,the_pro_object_coproduct_requires_coassociativity_compatible_with_transitions,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_transition_rows_supplied
coproduct_matrix_rows,matrix,source_coproduct_matrix_rows,certificates/sources/k3e_compact_hall/D_entries.csv,coproduct_matrix,finite_source_coproduct_constants_in_homogeneous_bases,matrix_coassociativity_requires_coproduct_matrix_entries,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_D_entries_supplied
hall_bialgebra_coassociativity_rows,hall_bialgebra,coassociativity_identity_rows,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,coassociativity_identity,zero_coassociativity_defect_rank_for_D_R,the_compact_source_ledger_needs_explicit_coassociativity_identity_rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_bialgebra_identity_rows_supplied
hybrid_to_compact_population,aggregate,populate_compact_Hall_from_hybrid_flags,certificates/hybrid/eight_word_two_step_flag_stacks/aggregate_population_rows.csv,population_row,hybrid_flag_rows_inserted_into_compact_Hall_carrier,hybrid_flag_packets_do_not_populate_the_compact_Hall_coproduct,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-coassociativity-two-step-flags,verified,no_aggregate_population_rows_supplied
