obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
populated_product_rows,hall_product,populated_product_operator_rows,certificates/hall/finite_hall_product_operator/product_operator_rows.csv,product_operator_row,product_legs_for_a_b_and_decomposed_output_pairs,bialgebra_compatibility_compares_actual_product_legs_not_notation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_product_operator_rows_supplied
populated_coproduct_rows,hall_coproduct,populated_coproduct_operator_rows,certificates/hall/finite_hall_coproduct_operator/coproduct_operator_rows.csv,coproduct_operator_row,coproduct_legs_for_u_v_and_decomposed_input_pairs,bialgebra_compatibility_compares_actual_coproduct_legs_not_notation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_coproduct_operator_rows_supplied
product_splitting_square_stack,flag_stack,retained_product_splitting_square_stack,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,product_splitting_square,Q_ret_R_a_b_u_v_with_left_and_right_correspondence_comparisons,the_common_square_stack_is_the_geometric_source_of_the_bialgebra_comparison,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_product_splitting_square_row_supplied
base_change_rows,six_functor,base_change_isomorphism_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/base_change_rows.csv,base_change_row,base_change_for_the_product_then_split_and_split_then_product_squares,the_two_composites_are_compared_after_base_change_to_the_common_square_stack,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_base_change_rows_supplied
projection_formula_rows,six_functor,projection_formula_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/projection_formula_rows.csv,projection_formula_row,projection_formula_for_product_coproduct_coefficients_on_the_square,coefficient_transport_through_pushforward_requires_projection_formula_rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_projection_formula_rows_supplied
product_coproduct_thom_sebastiani_rows,coefficient,product_coproduct_TS_coherence_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/thom_sebastiani_rows.csv,ts_coherence_row,TSred_product_then_inverse_TSred_split_equals_split_then_product_TSred_on_Q_ret,the_two_coefficient_complexes_on_the_common_square_stack_must_be_identified,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_TS_rows_supplied
koszul_braiding_sign_rows,sign,koszul_braiding_rows,compatibility_rows.csv,koszul_braiding_row,middle_factor_exchange_sign_in_1_tensor_tau_tensor_1,the_bialgebra_identity_in_super_degree_requires_the_Koszul_sign_row,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_koszul_braiding_row_supplied
compactification_independent_final_pushforwards,six_functor,final_pushforward_independence_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,choice_independence_row,left_and_right_final_pushforwards_to_M_u_times_M_v_identified,row350_requires_choice_independent_mixed_square_pushforwards,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_choice_independence_rows_supplied
product_matrix_rows,matrix,source_product_matrix_rows,certificates/sources/k3e_compact_hall/M_entries.csv,product_matrix,finite_source_product_constants_in_homogeneous_bases,matrix_bialgebra_identity_requires_product_matrix_entries,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_M_entries_supplied
coproduct_matrix_rows,matrix,source_coproduct_matrix_rows,certificates/sources/k3e_compact_hall/D_entries.csv,coproduct_matrix,finite_source_coproduct_constants_in_homogeneous_bases,matrix_bialgebra_identity_requires_coproduct_matrix_entries,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_D_entries_supplied
hall_bialgebra_compatibility_rows,hall_bialgebra,bialgebra_compatibility_identity_rows,certificates/sources/k3e_compact_hall/hall_bialgebra_identities.csv,bialgebra_compatibility,zero_defect_rank_for_Delta_m_equals_signed_m_tensor_m_Delta_tensor_Delta,the_compact_source_ledger_needs_explicit_bialgebra_compatibility_rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_bialgebra_identity_rows_supplied
transition_product_rows,transition,product_transition_rows,certificates/hall/transition_hall_product_preservation/product_matrix_transport.csv,product_intertwining_defect_zero,the_pro_object_bialgebra_requires_product_transition_preservation,transition_product_rows_are_missing_for_the_limit_bialgebra,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_product_transition_rows_supplied
transition_coproduct_rows,transition,coproduct_transition_rows,certificates/hall/transition_hall_coproduct_preservation/coproduct_matrix_transport.csv,coproduct_intertwining_defect_zero,the_pro_object_bialgebra_requires_coproduct_transition_preservation,transition_coproduct_rows_are_missing_for_the_limit_bialgebra,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-bialgebra-compatibility,verified,no_coproduct_transition_rows_supplied
