obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,lim1_status,proof_reference,check_status,notes
cofinal_root_window_sequence,indexing,cofinal relation-closed root-window sequence,primitive_coverage.csv,cofinal_window,cofinal increasing downward-saturated relation-closed windows with successor witnesses,lim1 is computed on a specified inverse system not on informal window growth,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,no cofinal root-window sequence row supplied
primitive_transition_input,transition,primitive transition preservation,primitive_transition_maps.csv,primitive_transition_input,restricted primitive transition maps supplied by transition preservation of primitive subspaces,the primitive spaces must form an inverse system before lim1 can be tested,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/README.md:1,verified,no primitive transition input row supplied
primitive_space_rows,primitive_spaces,primitive space rows,primitive_spaces.csv,primitive_space,finite primitive-space id for each window degree sign and parity,the tower cannot be formed before the primitive spaces are named,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,no primitive-space rows supplied
primitive_basis_rows,primitive_spaces,primitive basis rows,primitive_spaces.csv,primitive_basis,explicit basis for each primitive space,finite image equality must be checked in coordinates,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,no primitive basis rows supplied
finite_rank_rows,primitive_spaces,finite rank primitive rows,primitive_spaces.csv,finite_rank,finite rank for every retained primitive space,finite-dimensionality is needed before finite image stabilization can be checked,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:3,verified,no finite rank primitive rows supplied
parity_piece_rows,coverage,parity piece coverage,primitive_coverage.csv,parity_coverage,coverage row for even and odd primitive pieces in each retained degree,primitive recognition uses two parity ranks not a signed difference,missing_open_obligation,certificates/hall/transition_parity_decomposition_preservation/README.md:1,verified,no parity coverage rows supplied
positive_negative_coverage,coverage,positive and negative primitive coverage,primitive_coverage.csv,positive_negative_coverage,coverage row for retained positive and negative root spaces,the Chevalley anti-involution and pairing lanes need both signs,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,no positive-negative coverage row supplied
restricted_transition_maps,transition,restricted primitive transition maps,primitive_transition_maps.csv,restricted_transition,linear maps between primitive bases after ambient restriction,ML is a property of maps between primitive spaces,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/blocked_obligations.csv:15,verified,no restricted primitive transition maps supplied
transition_functoriality,transition,primitive transition functoriality,primitive_ml_r1lim_defects.csv,functoriality_defect_zero,zero identity and composition defect rows for primitive transition maps,lim1 is not defined without a functorial inverse system,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/blocked_obligations.csv:16,verified,no primitive functoriality defect row supplied
image_subspace_rows,image_stabilization,image subspace rows,primitive_image_stabilization.csv,image_subspace,explicit image basis inside each fixed base-window primitive space,ML image stabilization must be checked as a subspace equality,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,no image subspace rows supplied
image_stabilization_witness,image_stabilization,image stabilization witness,primitive_image_stabilization.csv,image_stabilization,witness window after which all later primitive images equal the stabilized image,this is the finite matrix form of the Mittag-Leffler condition,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,no image stabilization witness supplied
strict_ml_status,ml_exactness,strict Mittag-Leffler status row,primitive_ml_r1lim_defects.csv,ml_status,strict_status=strict_verified and ml_status=ml_verified for each primitive tower,the primitive inverse limit needs a verified ML row,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:35,verified,no strict ML status row supplied
r1lim_zero_row,ml_exactness,zero R1lim row,primitive_ml_r1lim_defects.csv,r1lim_zero,r1lim_rank equal to zero for every retained primitive tower,this is row 196 and the exactness needed for primitive inverse limits,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,no R1lim zero row supplied
degreewise_exhaustion,coverage,degreewise primitive coverage,primitive_coverage.csv,degreewise_coverage,coverage row for every retained Gram degree target root sign and parity,a narrow window or one charge cannot prove lim1 vanishing for the whole primitive tower,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,no degreewise primitive coverage row supplied
comparison_tower_compatibility,comparison,A_beta and target comparison compatibility,primitive_transition_maps.csv,comparison_transition,comparison maps commute with primitive transitions on every retained degree,the completed recognition map uses compatible source-to-target primitive towers,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:36,verified,no comparison transition row supplied
no_scalar_primitive_lim1_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_primitive_lim1_substitution_excluded,excludes finite rank dimension equality signed multiplicities denominator products target windows traces and transition preservation alone,prevents scalar shadows or pointwise primitive kernels from being read as R1lim vanishing,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:primitive-space-ml,verified,firewall rows supplied but primitive-space ML data absent
