obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,hall_product_status,proof_reference,check_status,notes
transition_geometry_input,moduli_transition,proper or closed transition input,extension_correspondence_transitions.csv,transition_geometry_input,imports finite-moduli transition geometry for object extension and flag stacks,Hall product preservation requires transition maps of the product correspondence,missing_open_obligation,certificates/moduli/finite_moduli_transition_geometry/README.md:1,verified,no transition geometry input row supplied
orientation_transition_input,orientation_transition,orientation transition input,coefficient_transport.csv,orientation_transport_id,imports Picard-groupoid orientation transport row,the Hall product coefficient system contains the orientation line,missing_open_obligation,certificates/orientation/transition_orientation_preservation/README.md:1,verified,no orientation transition input row supplied
vanishing_cycle_transition_input,vanishing_cycle_transition,vanishing-cycle transition input,coefficient_transport.csv,vanishing_cycle_transport_id,imports reduced vanishing-cycle transition row,the Hall product coefficient system contains reduced vanishing cycles,missing_open_obligation,certificates/vanishing_cycles/transition_vanishing_cycle_preservation/README.md:1,verified,no vanishing-cycle transition input row supplied
source_product_matrix,hall_product,source Hall product matrix,M_entries.csv,product_matrix,finite source product constants in homogeneous compact bases,there is no transition preservation theorem before the product itself exists,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:6,verified,no source product matrix row supplied
extension_correspondence_square,correspondence,extension correspondence transition square,extension_correspondence_transitions.csv,extension_square,extension stack transition commutes with input and output stack transitions,the two pull-push definitions of product must live on a common transition square,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no extension correspondence transition square supplied
input_product_stack_square,correspondence,input product stack square,extension_correspondence_transitions.csv,input_square,product of input object-stack transitions commutes with extension projection p,the pullback p star must commute with transition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no input product square supplied
output_product_stack_square,correspondence,output stack square,extension_correspondence_transitions.csv,output_square,output object-stack transition commutes with extension projection q,the exceptional pushforward q shriek must commute with transition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no output square supplied
coefficient_system_transport,coefficient,coefficient-system transport,coefficient_transport.csv,coefficient_transport,orientation and reduced vanishing cycles transported on the extension graph,the product acts on Phi red tensor o and needs both transports together,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no coefficient-system transport row supplied
ts_product_transport,coefficient,Thom-Sebastiani product transport,coefficient_transport.csv,ts_product_transport,TS red isomorphism commutes with R to R prime transition,Hall multiplication uses TS between input and output coefficient systems,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no TS product transport row supplied
proper_base_change,six_functor,proper base-change row,base_change_projection.csv,proper_base_change,proper base-change square with defect rank zero,the equality of transitioned pull-push functors requires proper base change,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no proper base-change row supplied
projection_formula,six_functor,projection formula row,base_change_projection.csv,projection_formula,projection formula id and defect rank zero,the product transport must move coefficients through q shriek without changing the pull-push functor,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no projection formula row supplied
compact_support_pushforward,six_functor,compact-support pushforward compatibility,base_change_projection.csv,compact_support_pushforward,compact-support pushforward commutes with transition with defect rank zero,Hall product uses q shriek on compact support,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no compact-support pushforward row supplied
product_matrix_intertwining,matrix,product matrix transition intertwining,product_matrix_transport.csv,intertwining_defect_zero,output transition matrix times source M equals target M times left and right transition matrices,preservation of Hall products is the finite matrix identity after geometric pull-push rows are supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no product matrix intertwining row supplied
associativity_transition_compatibility,defect,associativity under transition,transition_defects.csv,associativity_transition_defect_zero,two-step flag associativity square commutes with transition,transition product preservation must be compatible with the associative Hall product,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,no associativity transition row supplied
hall_product_mittag_leffler,defect,Hall product Mittag-Leffler row,transition_defects.csv,hall_product_ml,r1lim_rank equals zero for Hall product maps,inverse-limit Hall product requires strict ML exactness,missing_open_obligation,certificates/d0/k3e_d0_hn/blocked_obligations.csv:34,verified,no Hall product ML row supplied
no_scalar_hall_product_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_hall_product_substitution_excluded,excludes scalar trace denominator product signed multiplicities target product Pfaffian product and coefficient transport alone,prevents scalar shadows or coefficient-only rows from being read as Hall product preservation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-product-preservation,verified,firewall rows supplied but Hall product transport absent
