obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,vanishing_status,proof_reference,check_status,notes
populated_orientation_cocycle,cocycle,populated_row_309_cocycle,cocycle_value_rows.csv,cocycle_value_rows,c_o_R_values_for_all_composable_pairs,row_310_has_no_input_without_a_closed_finite_cocycle,missing_open_obligation,certificates/orientation/rhomred_weyl_orientation_cocycle/blocked_obligations.csv,verified,row_309_values_absent
cocycle_closedness,cocycle,cocycle_defect_zero_rows,cocycle_defect_rows.csv,cocycle_defect,dc_o_R_equals_zero_on_composable_triples,only_closed_two_cochains_have_cohomology_classes,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,no_closedness_rows_supplied
coefficient_system,local_system,orientation_coefficient_system,cochain_complex_rows.csv,coefficient_system_id,Aut_o_source_fibres_and_transport_on_arrows,the_rank_test_must_use_the_actual_orientation_local_system,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,no_coefficient_system_rows_supplied
finite_components,groupoid,connected_component_orbit_rows,cochain_complex_rows.csv,component_id,finite_components_or_complete_W2_orbits,group_cohomology_reduction_requires_complete_orbits_and_constant_coefficients,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,no_component_rows_supplied
normalized_cochain_bases,cochain_complex,normalized_groupoid_cochain_bases,cochain_complex_rows.csv,C1_C2_basis_ids,bases_for_normalized_C1_and_C2_over_F2,rank_statement_requires_ordered_finite_bases,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,no_basis_rows_supplied
coboundary_matrix,cochain_complex,d1_coboundary_matrix,cochain_complex_rows.csv,d1_matrix_id,matrix_for_d1_C1_to_C2_over_F2,rank_test_requires_the_actual_groupoid_coboundary,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,no_d1_matrix_supplied
cocycle_vector,linear_algebra,cocycle_vector_in_C2,class_vanishing_rows.csv,cocycle_vector_id,v_c_o_R_in_C2_basis,augmented_rank_test_needs_the_cocycle_column,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,no_cocycle_vector_supplied
rank_certificate,linear_algebra,rank_equality_certificate,class_vanishing_rows.csv,rank_certificate,d1_rank_equals_augmented_rank_and_class_rank_zero,this_is_the_row_310_vanishing_proof,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,no_rank_certificate_supplied
cochain_witness_later,cochain,one_cochain_solution,class_vanishing_rows.csv,witness_cochain_id,solution_b_to_d1_b_equals_c_o_R,row_311_constructs_the_witness_after_row_310_existence,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1474,verified,row_311_left_separate
no_target_coxeter_substitution,firewall,target_Coxeter_firewall,scalar_firewall.csv,target_coxeter_graph_excluded,target_reflection_relations_are_not_source_orientation_cohomology,prevents_target_relations_from_replacing_groupoid_cohomology,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,firewall_records_exclusion
no_maass_character_substitution,firewall,Maass_character_firewall,scalar_firewall.csv,maass_character_excluded,Maass_character_is_scalar_multiplier_not_rank_certificate,prevents_scalar_multiplier_from_proving_orientation_class_zero,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,firewall_records_exclusion
no_abstract_group_cohomology_substitution,firewall,group_cohomology_firewall,scalar_firewall.csv,abstract_H2_excluded,H2_W2_claim_requires_complete_orbit_and_constant_coefficients,prevents_group_cohomology_statement_without_source_rows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cocycle-class-vanishing-criterion,verified,firewall_records_exclusion
