firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_finite_type_only,finite_type_only,true,0,certificates/moduli/retained_semistable_substacks,verified,finite type of stages does not prove image stabilization in cohomology
firewall_proper_or_closed_only,proper_or_closed_only,true,0,certificates/moduli/finite_moduli_transition_geometry,verified,proper or closed transition geometry does not prove the induced images stabilize
firewall_bounded_hn_types,bounded_hn_types,true,0,certificates/moduli/retained_hn_type_bounds,verified,bounded HN types do not construct cohomology transition maps
firewall_transition_geometry_only,transition_geometry_only,true,0,certificates/moduli/finite_moduli_transition_geometry,verified,transition morphisms alone are not ML image-stabilization witnesses
firewall_euler_characteristic,euler_characteristic,true,0,chapters/09_zbps_realization.tex,verified,an Euler characteristic is not a cohomology tower
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace does not compute R1lim of moduli cohomology
firewall_protected_trace,protected_trace,true,0,chapters/09_zbps_realization.tex,verified,protected traces are scalar shadows not cohomology image stabilization data
firewall_hilbert_scheme_scalar,hilbert_scheme_scalar,true,0,certificates/d0/k3e_d0_hn,verified,Hilbert-scheme scalar tests do not prove threefold retained moduli cohomology ML
firewall_target_window,target_window,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,target BKM windows are not source moduli cohomology towers
firewall_formal_charge_window,formal_charge_window,true,0,certificates/charge/k3e_charge_window,verified,charge windows do not supply moduli cohomology transition maps
firewall_vanishing_cycle_transition_only,vanishing_cycle_transition_only,true,0,certificates/vanishing_cycles/transition_vanishing_cycle_preservation,verified,vanishing-cycle transition compatibility is not moduli cohomology ML for all retained stacks
firewall_orientation_transition_only,orientation_transition_only,true,0,certificates/orientation/transition_orientation_preservation,verified,orientation transition compatibility is not cohomology image stabilization
firewall_empty_ml_status,empty_ml_status,true,0,certificates/moduli/k3e_finite_moduli/transitions.csv,verified,a header-only ML table proves no R1lim vanishing
