obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_G_entries,hopf_pairing,source positive-negative pairing matrix,certificates/sources/k3e_compact_hall/G_entries.csv,G_entry,finite constants G_gamma_p_ab in primitive bases,row363 forms the quotient pairing from G,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,no_G_entries_supplied
left_radical_K_entries,radical_quotient,left radical basis,certificates/sources/k3e_compact_hall/K_entries.csv,left_radical_basis,basis for vectors pairing trivially with the opposite block,the quotient must divide by the actual left radical,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,no_left_K_entries_supplied
right_radical_K_entries,radical_quotient,right radical basis,certificates/sources/k3e_compact_hall/K_entries.csv,right_radical_basis,basis for opposite vectors pairing trivially with the source block,nondegeneracy needs both adjoint maps,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,no_right_K_entries_supplied
quotient_Q_entries,radical_quotient,quotient splitting matrices,certificates/sources/k3e_compact_hall/Q_entries.csv,quotient_splitting,splittings Q_gamma and Q_minusgamma for quotient bases,the finite quotient matrix is Q^t G Q,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,no_Q_entries_supplied
quotient_pairing_matrix,radical_quotient,quotient pairing matrix,quotient_nondegeneracy_rows.csv,quotient_pairing_matrix,computed matrix Q_gamma^t G_gamma Q_minusgamma,the rank test is applied to the quotient pairing matrix,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,no_quotient_pairing_matrix_supplied
quotient_rank_rows,rank,quotient-rank rows,quotient_nondegeneracy_rows.csv,rank_row,rank of Q^t G Q equals both quotient dimensions,nondegeneracy is the full-rank condition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,no_rank_rows_supplied
determinant_rows,rank,determinant or minor rows,quotient_nondegeneracy_rows.csv,determinant_row,nonzero determinant in square quotient bases or full-rank minors,rank needs an explicit finite witness,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,no_determinant_rows_supplied
radical_identification_rows,radical_quotient,radical-identification rows,quotient_nondegeneracy_rows.csv,radical_identification,proof K equals left and right radical of source G,kernel bases must be actual radicals not arbitrary subspaces,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,no_radical_identification_rows_supplied
transition_radical_firewall,transition,transition-radical firewall,scalar_firewall.csv,transition_separation,finite nondegeneracy does not prove transition preservation of radicals,row363 is stagewise and does not prove the tower transition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,transition_radical_kept_separate
lim1_firewall,limit,pairing-kernel lim1 firewall,scalar_firewall.csv,lim1_separation,finite nondegeneracy does not prove lim1 vanishing for radical towers,row363 is not an inverse-limit theorem,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,lim1_kept_separate
target_radical_firewall,firewall,target radical firewall,scalar_firewall.csv,target_source_separation,target radical tables cannot replace source K and Q rows,the target radical is only a comparison after source quotient formation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,target_shortcut_excluded
rank_equality_firewall,firewall,rank-equality firewall,scalar_firewall.csv,rank_payload_separation,rank equality without G K Q and radical identification rows is not nondegeneracy,the theorem needs the matrix whose rank is being tested,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-quotient-pairing-nondegeneracy,verified,bare_rank_equality_excluded
