firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace is not a radical transition identity
firewall_denominator_product,denominator_product,true,0,chapters/04_view2_bkm.tex,verified,the Borcherds product is a target denominator and not a compact Hall radical transition map
firewall_signed_multiplicities,signed_multiplicities,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation,verified,signed multiplicities do not compute Hopf-pairing kernels
firewall_target_radical_table,target_radical_table,true,0,certificates/targets/delta5_gn_kac/a071_target_presentation/target_radicals.csv,verified,target radical rows do not supply compact source radical transitions
firewall_pairing_matrix_only,pairing_matrix_only,true,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,a pairing matrix without Hopf identities and transition identity does not prove radical preservation
firewall_rank_equality_only,rank_equality_only,true,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,rank equality without explicit kernel inclusions and transition matrices does not prove subspace preservation
firewall_primitive_transition_only,primitive_transition_only,true,0,certificates/hall/transition_primitive_subspace_preservation,verified,primitive transition preservation does not imply preservation of Hopf-pairing radicals
firewall_bar_coalgebra_radical,bar_coalgebra_radical,true,0,certificates/charge/bar_pushforward_commutation,verified,formal bar coalgebra data do not construct the compact Hall Hopf radical
firewall_normal_ordered_degree_map,normal_ordered_degree_map,true,0,certificates/charge/hall_pairing_pushforward_compatibility,verified,degree preservation does not compute a Hopf-pairing radical
firewall_abstract_kernel_matrix,abstract_kernel_matrix,true,0,chapters/05_subsections/05_3_hall.tex,verified,an abstract kernel without compact protected pairing provenance is not a K3xE radical row
