basis_id,degree_id,tex_label,beta_c1,beta_c2,beta_c3,parity,index_in_parity,basis_status,parity_source,provenance_kind,provenance_note,computation_hash
2a_12.even.001,2a_12,2a_{12},2,2,0,even,1,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,3620071b847b3152
2a_12.even.002,2a_12,2a_{12},2,2,0,even,2,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,188efa5c1549ed45
2a_12.even.003,2a_12,2a_{12},2,2,0,even,3,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,a5ffd33ce4b1b06d
2a_12.even.004,2a_12,2a_{12},2,2,0,even,4,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,471bec5ab7d9c524
2a_12.even.005,2a_12,2a_{12},2,2,0,even,5,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,8eedc8a41b264942
2a_12.even.006,2a_12,2a_{12},2,2,0,even,6,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,380310e150d20100
2a_12.even.007,2a_12,2a_{12},2,2,0,even,7,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,fe8dafd4cfea6f62
2a_12.even.008,2a_12,2a_{12},2,2,0,even,8,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,d1c1aad9966bf5c1
2a_12.even.009,2a_12,2a_{12},2,2,0,even,9,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,ae619271deb3cccd
2a_12.even.010,2a_12,2a_{12},2,2,0,even,10,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,5c7c90e717314a08
2a_13.even.001,2a_13,2a_{13},2,0,2,even,1,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,0ee5d3233eea4f36
2a_13.even.002,2a_13,2a_{13},2,0,2,even,2,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,581bb94cda78ca73
2a_13.even.003,2a_13,2a_{13},2,0,2,even,3,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,4a0c4705e3280b9c
2a_13.even.004,2a_13,2a_{13},2,0,2,even,4,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,966c09c584bfc0b6
2a_13.even.005,2a_13,2a_{13},2,0,2,even,5,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,0097491347b01dbb
