firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_target_properness,target_properness_only,true,0,certificates/hybrid/local_local_extension_properness/README.md:1,verified,target properness alone is not the general compact-support model
firewall_mixed_admissibility,mixed_admissibility_only,true,0,certificates/hybrid/mixed_local_wrapped_extension_admissibility/README.md:1,verified,mixed target admissibility does not define compact-support pushforward for arbitrary maps
firewall_ww_admissibility,wrapped_wrapped_admissibility_only,true,0,certificates/hybrid/wrapped_wrapped_extension_admissibility/README.md:1,verified,WW target admissibility does not define compact-support pushforward for arbitrary maps
firewall_raw_nonproper_pushforward,raw_nonproper_pushforward,true,0,chapters/05_subsections/05_1_hybrid.tex:def:compact-support-exceptional-pushforward-model,verified,nonproper maps require compactification and extension by zero
firewall_choice_independence,choice_independence,true,0,chapters/05_subsections/05_1_hybrid.tex:def:compact-support-exceptional-pushforward-model,verified,choice independence is not claimed
firewall_base_change,base_change,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1189,verified,the compact-support definition is not base change
firewall_projection_formula,projection_formula,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1190,verified,the compact-support definition is not the projection formula
firewall_ts,thom_sebastiani,true,0,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1191,verified,the compact-support definition is not Thom-Sebastiani transport
firewall_quotient_first,quotient_first,true,0,chapters/05_subsections/05_1_hybrid.tex:cor:no-quotient-first-hybrid-repair,verified,compact-support models live before quotient descent
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,a scalar trace is not an exceptional pushforward model
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier/manifest.json:1,verified,the empty carrier scaffold has no compact-support population rows
