obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,groupoid_status,proof_reference,check_status,notes
retained_orientation_object_rows,object,retained_quotient_orientation_objects,groupoid_object_rows.csv,object_row,S_with_o_R_S_mathfrak_q_R_S_and_retained_support,the_groupoid_objects_are_oriented_quotient_strata_not_target_roots,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:finite-partial-action-groupoid-GR,verified,no_object_rows_supplied
coefficient_local_system,object,coefficient_local_system_fibres,groupoid_object_rows.csv,coefficient_fibre,Aut_of_full_quotient_orientation_package_at_each_object,cocycle_coefficients_are_not_constant_without_identified_fibres,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:finite-partial-action-groupoid-GR,verified,no_local_system_rows_supplied
generating_arrow_rows,arrow,type_II_wall_generating_arrows,groupoid_arrow_rows.csv,arrow_row,g_i_R_S_from_S_to_s_delta_i_S_with_tau_lift,the_target_generator_must_lift_to_a_source_arrow,missing_open_obligation,certificates/orientation/rhomred_weyl_wall_transport_tau/blocked_obligations.csv,verified,no_arrow_rows_supplied
source_target_maps,arrow,source_and_target_maps,groupoid_arrow_rows.csv,source_target,source_target_defect_rank_zero,partial_action_groupoid_requires_well_defined_arrow_endpoints,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:finite-partial-action-groupoid-GR,verified,no_source_target_rows_supplied
identity_rows,identity,identity_arrows,groupoid_inverse_rows.csv,identity_row,id_S_for_each_object,groupoid_axioms_start_with_identity_arrows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:finite-partial-action-groupoid-GR,verified,no_identity_rows_supplied
inverse_rows,inverse,inverse_arrows,groupoid_inverse_rows.csv,inverse_row,g_i_R_S_inverse_equals_g_i_R_sdeltaS,partial_Weyl_arrows_must_be_invertible_where_defined,missing_open_obligation,certificates/orientation/rhomred_weyl_tau_square/blocked_obligations.csv,verified,no_inverse_rows_supplied
partial_composition_rows,composition,partial_composition_rows,groupoid_composition_rows.csv,composition_row,word_composition_defined_only_when_intermediate_strata_retained,cocycle_rows_need_composable_arrow_pairs,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:finite-partial-action-groupoid-GR,verified,no_composition_rows_supplied
associativity_defects,composition,associativity_defect_rows,groupoid_composition_rows.csv,associativity_defect,associativity_defect_rank_zero,orientation_2_cocycle_requires_an_actual_groupoid_not_a_graph,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:finite-partial-action-groupoid-GR,verified,no_associativity_rows_supplied
coxeter_rows_later,coxeter,projective_cocycle_and_cochain_rows,coxeter_cocycles.csv,coxeter_rows,c_o_R_rows_live_on_the_defined_groupoid,row_309_to_311_require_G_R_first,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/coxeter_cocycles.csv,verified,no_coxeter_rows_supplied
no_target_graph_substitution,firewall,scalar_or_target_firewall,scalar_firewall.csv,target_graph_substitution_excluded,excludes_type_II_target_graph_wall_profile_survival_and_Maass_character_as_G_R,prevents_target_or_profile_rows_from_being_read_as_source_action_groupoid,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:def:finite-partial-action-groupoid-GR,verified,firewall_rows_supplied_but_groupoid_absent
