obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,transition_status,proof_reference,check_status,notes
transition_morphism_rows,transition,morphism rows,stack_transitions.csv,transition_morphism,from stage to stage source stack target stack transition morphism,finite stages do not form an inverse system without actual transition morphisms,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no transition morphism rows supplied
object_stack_component,transition,object-stack transition component,stack_transitions.csv,object_stack_transition,transition morphism on retained object stacks,M2 requires object-stack transitions before orientation or Hall transport,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no object-stack transition row supplied
extension_stack_component,transition,extension-stack transition component,stack_transitions.csv,extension_stack_transition,transition morphism on compactified extension stacks,Hall products require extension-stack transition geometry,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no extension-stack transition row supplied
two_step_flag_stack_component,transition,two-step flag-stack transition component,stack_transitions.csv,two_step_flag_stack_transition,transition morphism on two-step flag stacks,coproduct and associativity require two-step flag transition geometry,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no two-step flag-stack transition row supplied
proper_or_closed_choice,geometry,proper or closed component status,component_geometry.csv,proper_or_closed,proper verified or closed embedding verified for every component,finite moduli transitions are admissible only when each component is proper or closed,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no proper-or-closed component rows supplied
image_or_graph_closed,geometry,closed image or graph row,component_geometry.csv,image_or_graph_closed,image_closed or graph_closed true with zero defect,closed embedding claims require the closed image or graph computation,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no image or graph closed row supplied
finite_type_source_target,geometry,finite-type source and target row,component_geometry.csv,finite_type_status,finite type source and target stacks for the morphism,properness and closed immersion statements are finite-type stack statements here,missing_open_obligation,certificates/moduli/k3e_finite_moduli/README.md:1,verified,no transition finite-type source-target row supplied
retained_locus_compatibility,defect,retained-locus compatibility,transition_defects.csv,retained_locus_defect_zero,retained_locus_defect_rank equals zero,transition maps must carry retained closed loci to retained closed loci,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no retained-locus compatibility row supplied
base_change_compatibility,defect,base-change compatibility,transition_defects.csv,base_change_defect_zero,base_change_defect_rank equals zero,orientation and vanishing-cycle transport require the transition square to commute under base change,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no base-change compatibility row supplied
composition_zero,defect,zero composition defect,transition_defects.csv,composition_defect_zero,composition_defect_rank equals zero,transition morphisms must compose to define the finite-stage category,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no composition defect row supplied
domain_transport_compatibility,defect,orientation and vanishing-cycle domain compatibility,transition_defects.csv,domain_transport_defect_zero,orientation_domain_defect_rank and vanishing_cycle_domain_defect_rank equal zero,later orientation and vanishing-cycle preservation require the same transition domains,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,no domain transport compatibility row supplied
no_window_to_moduli_substitution,firewall,window-to-moduli firewall,scalar_firewall.csv,window_to_moduli_substitution_excluded,excludes target windows source windows scalars and Pfaffian products as moduli transition proof,prevents finite root or scalar data from being read as stack-transition geometry,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:finite-moduli-transition-geometry,verified,firewall rows supplied but transition geometry absent
