obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,wrapped_wrapped_status,proof_reference,check_status,notes
extension_stack_rows,wrapped_wrapped_extension,actual wrapped/wrapped extension stack rows,extension_stack_rows.csv,extension_stack_row,E_WW flag stack for each retained ordered wrapped colour pair,row 209 defines the type but does not populate finite extension stacks,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:wrapped-wrapped-correspondence-datum,verified,no extension stack rows supplied
source_target_map_rows,wrapped_wrapped_maps,source and target maps for WW diagram,source_target_map_rows.csv,map_row,p and q maps to ordered wrapped source carrier and wrapped target carrier,the definition states the formulas but map rows remain unpopulated,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:wrapped-wrapped-correspondence-datum,verified,no source-target map rows supplied
target_wrapped_colour_rows,degree_map,target wrapped colour verification,extension_stack_rows.csv,target_colour_row,zeta equals eta_1 plus eta_2 and lies in Gamma_R_wr,this uses b_R^geom additivity rows not supplied in this packet,missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_additivity/README.md:1,verified,no target colour rows supplied
anchor_memory_rows,anchor_memory,source and target anchors before quotient,anchor_memory_rows.csv,anchor_memory_row,left source anchor right source anchor target anchor and relative anchor retained before quotient,row 212 defines the common before-quotient anchor-memory type and populated WW rows remain absent,missing_open_obligation,certificates/hybrid/source_target_anchor_memory_definition/definition_rows.csv:1,verified,no populated WW anchor memory rows supplied
admissibility_rows,admissibility,exceptional pushforward admissibility for WW stacks,admissibility_rows.csv,admissibility_row,compact-support exceptional pushforward model and admissibility defect zero,row 223 asks for admissibility of wrapped/wrapped extension stacks,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1187,verified,no admissibility rows supplied
thom_sebastiani_rows,thom_sebastiani,Thom-Sebastiani transport for WW correspondences,thom_sebastiani_rows.csv,ts_row,vanishing-cycle source and target identifications with TS defect zero,the hybrid correspondence category needs TS transport before protected multiplication,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,no Thom-Sebastiani rows supplied
transition_rows,transition,finite-stage WW correspondence transitions,transition_rows.csv,transition_row,R to Rprime maps compatible with colours maps and anchors,the pro-correspondence category needs compatible WW arrows,missing_open_obligation,certificates/hybrid/k3e_hybrid_carrier/transitions.csv:1,verified,no transition rows supplied
symmetric_descent_rows,symmetric_descent,symmetric descent for unordered wrapped pairs,source_target_map_rows.csv,symmetric_descent_row,compatibility between ordered pair and eta_1 eta_2 relabelling,row 209 defines the ordered WW correspondence before symmetric descent,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:wrapped-wrapped-correspondence-datum,verified,no symmetric descent rows supplied
mixed_separate,mixed,one-sided mixed correspondence definition,extension_stack_rows.csv,mixed_row,LW and WL extension stack definitions,row 208 is separate from row 209,missing_open_obligation,certificates/hybrid/mixed_local_wrapped_correspondence_definition/README.md:1,verified,no mixed rows supplied here
local_local_separate,local_local,local-local correspondence definition,extension_stack_rows.csv,local_local_row,LL extension stack definition for two local inputs,row 210 is separate from row 209,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1164,verified,no local-local rows supplied
two_sided_mixed_separate,two_sided_mixed,ordered two-sided mixed correspondence definition,extension_stack_rows.csv,two_sided_mixed_row,local inputs on both sides of one wrapped input,row 211 is separate from row 209,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1165,verified,no two-sided mixed rows supplied
