obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,preservation_status,proof_reference,check_status,notes
source_target_coefficients,quotient_borel,source_and_target_a1_a2_coefficients,free_e_coefficients.csv,coefficient_row,a1_a2_for_source_and_target,row_316_needs_actual_H2_BE_coordinates_not_only_basis,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,row_282_coefficients_absent
h2_be_transport_matrix,weyl_transport,induced_H2_BE_matrix,weyl_lifts.csv,h2_be_matrix_row,M_i_R_S_in_GL2_F2,coordinate_defect_cannot_be_formed_without_transport_matrix,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,row_306_H2_BE_matrix_absent
cochain_transport_defect,cochain_transport,connected_BE_cochain_transport_defect,preservation_rows.csv,cochain_transport_defect_row,transported_representative_minus_target_representative,strict_representative_preservation_needs_cochain_level_defect,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,no_cochain_transport_defect_row_supplied
coordinate_defect_vector,linear_algebra,H2_BE_coordinate_defect_vector,preservation_rows.csv,coordinate_defect_vector_id,M_times_source_coefficients_minus_target_coefficients,row_316_proof_starts_with_this_coordinate_defect,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,no_coordinate_defect_vector_supplied
zero_vector_certificate,linear_algebra,zero_coordinate_certificate,preservation_rows.csv,coordinate_defect_rank,rank_of_coordinate_defect_equals_zero,this_is_the_row_316_class_preservation_proof,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,no_zero_vector_certificate_supplied
all_retained_wall_coverage,coverage,retained_wall_coverage,preservation_rows.csv,coverage_row,every_retained_i_R_S_checked,O1_plus_requires_all_retained_walls_not_one_sample,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,no_coverage_rows_supplied
row282_completion,dependency,row_282_free_E_complete,certificates/orientation/rhomred_free_e_borel/manifest.json,free_e_class_values_computed_true,actual_a1_a2_coefficients,row_316_depends_on_actual_connected_BE_edge_coefficients,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,row_282_manifest_has_values_computed_false
row283_vanishing,dependency,row_283_free_E_vanishing,certificates/orientation/rhomred_free_e_vanishing/manifest.json,free_e_vanishing_verified_true,alpha_E_free_zero_coordinates,full_quotient_orientation_uses_the_zero_class_before_nulltrivialization,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,row_283_manifest_has_vanishing_false
row284_nulltrivialization,dependency,row_284_free_E_nulltrivialization,certificates/orientation/rhomred_free_e_nulltrivialization/manifest.json,nulltrivializations_supplied_true,h_E_free_nulltrivializations,strict_quotient_orientation_gauge_needs_nulltrivialization_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,row_284_manifest_has_nulltrivializations_false
row306_tau_transport,dependency,row_306_tau_constructed,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,tau_transport_constructed_true,tau_i_cochain_transport,Weyl_preservation_has_no_source_map_without_tau_i,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,row_306_manifest_has_tau_transport_constructed_false
row315_alpha_red_preservation,dependency,row_315_alpha_red_preservation,certificates/orientation/rhomred_weyl_alpha_red_preservation/manifest.json,alpha_red_preservation_proved_true,alpha_red_component_preserved,componentwise_orientation_transport_requires_prior_reduced_gerbe_component,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,row_315_manifest_has_preservation_false
row317_separation,scope,next_finite_stabilizer_component,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_317,finite_stabilizer_beta_preservation_after_free_E,row_317_does_not_prove_row_316,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-alpha-e-free-preservation-criterion,verified,next_component_kept_separate
