law_id,law_kind,n,l,n_prime,l_prime,discriminant,l_mod_2,expected_left,expected_right,law_residual,source_formula_id,proof_reference,check_status,notes
q0_lminus1,leading_q0,0,-1,0,-1,-1,1,1,1,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier index-one normalization,verified,"leading term coefficient of r^{-1}"
q0_l0,leading_q0,0,0,0,0,0,0,10,10,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier index-one normalization,verified,"constant term coefficient"
q0_l1,leading_q0,0,1,0,1,-1,1,1,1,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier index-one normalization,verified,"leading term coefficient of r"
even_Dminus1,evenness,0,1,0,-1,-1,1,1,1,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Jacobi elliptic symmetry,verified,"f(0,1)=f(0,-1)"
even_D3,evenness,1,1,1,-1,3,1,-64,-64,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Jacobi elliptic symmetry,verified,"f(1,1)=f(1,-1)"
even_D4,evenness,1,0,1,0,4,0,108,108,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Jacobi elliptic symmetry,verified,"f(1,0)=f(1,0)"
even_D7,evenness,2,1,2,-1,7,1,-513,-513,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Jacobi elliptic symmetry,verified,"f(2,1)=f(2,-1)"
even_D12,evenness,4,2,4,-2,12,0,4016,4016,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Jacobi elliptic symmetry,verified,"f(4,2)=f(4,-2)"
even_Dminus5,evenness,1,3,1,-3,-5,1,0,0,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Jacobi elliptic symmetry,verified,"terminal zero is symmetric"
disc_D0,discriminant_dependence,0,0,4,4,0,0,10,10,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier Theorem 2.2,verified,"f(0,0)=f(4,4)"
disc_D4,discriminant_dependence,1,0,2,2,4,0,108,108,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier Theorem 2.2,verified,"f(1,0)=f(2,2)"
disc_D7,discriminant_dependence,2,1,4,3,7,1,-513,-513,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier Theorem 2.2,verified,"f(2,1)=f(4,3)"
disc_D3,discriminant_dependence,1,-1,3,3,3,1,-64,-64,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier Theorem 2.2,verified,"f(1,-1)=f(3,3)"
disc_Dminus1,discriminant_dependence,0,-1,2,3,-1,1,1,1,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier Theorem 2.2,verified,"f(0,-1)=f(2,3)"
disc_Dminus5,discriminant_dependence,1,3,5,5,-5,1,0,0,0,theta_series_phi_01_exact,compute/verify_square_root.py phi_01_coefficients; Eichler-Zagier Theorem 2.2 support convention,verified,"both entries vanish outside weak support"
