obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,pro_object_status,proof_reference,check_status,notes
cofinal_poset,cofinality,finite HN index poset,cofinal_subsystems.csv,poset_id,poset_id with retained HN height relation,the inverse system needs an actual filtered index category,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no cofinal subsystem row is supplied
cofinal_directed,cofinality,directed HN subsystem,cofinal_subsystems.csv,directed_status,directed_verified with identity and composition defects zero,pro objects require directed transition data not an informal height parameter,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no directedness row is supplied
cofinal_verified,cofinality,cofinal HN subsystem,cofinal_subsystems.csv,cofinal_status,cofinal_verified against the retained HN system,cofinal replacement is part of pro-isomorphism data,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no cofinality proof row is supplied
cofinal_identity,cofinality,identity law on the subsystem,cofinal_subsystems.csv,identity_defect_zero,identity_defect_rank equal to 0,identity defects prevent a functor into the finite-stage category,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no identity defect computation is supplied
cofinal_composition,cofinality,composition law on the subsystem,cofinal_subsystems.csv,composition_defect_zero,composition_defect_rank equal to 0,composition defects prevent a directed inverse system,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no composition defect computation is supplied
pro_topology,cofinality,topology on the inverse limit,cofinal_subsystems.csv,inverse_limit_topology,explicit pro topology or completed filtered topology with cofinal basis,the symbol inverse limit has no mathematical content until its topology is fixed,missing_open_obligation,Definition def:dirac-igusa-pro-isomorphism,verified,no inverse limit topology row is supplied
component_A_E3,stage_objects,finite E3 algebra component,stage_objects.csv,A_E3,component row with typed category and payload packet,each finite stage must contain the holomorphic E3 component,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no A_E3 stage object row is supplied
component_F_hyb,stage_objects,finite hybrid carrier component,stage_objects.csv,F_hyb,component row with typed category and payload packet,the hybrid factorization carrier is part of the finite datum,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no F_hyb stage object row is supplied
component_Gamma,stage_objects,finite charge lattice component,stage_objects.csv,Gamma,component row with typed category and payload packet,normal ordered charge data must be a stage object,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no Gamma stage object row is supplied
component_Pi,stage_objects,finite polarization component,stage_objects.csv,Pi,component row with typed category and payload packet,the polarization is part of the structural finite datum,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no Pi stage object row is supplied
component_Phi,stage_objects,finite vanishing cycle component,stage_objects.csv,Phi,component row with typed category and payload packet,vanishing cycles must be carried through transitions,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no Phi stage object row is supplied
component_o,stage_objects,finite orientation component,stage_objects.csv,o,component row with typed category and payload packet,the reduced orientation is part of the finite object not a scalar sign,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no o stage object row is supplied
component_H,stage_objects,finite Hall component,stage_objects.csv,H,component row with typed category and payload packet,the Hall bialgebra data define primitives and transitions,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no H stage object row is supplied
component_P_Pi,stage_objects,finite primitive projection component,stage_objects.csv,P_Pi,component row with typed category and payload packet,primitive projection is a structural component of recognition,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no P_Pi stage object row is supplied
component_C,stage_objects,finite Koszul coalgebra component,stage_objects.csv,C,component row with typed category and payload packet,the Koszul source coalgebra must transition as a finite object,missing_open_obligation,Definition def:finite-stage-dirac-igusa-morphism,verified,no C stage object row is supplied
