coverage_id,claim_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
criterion_count,criterion_rows,1,1,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,one_trace_degree_criterion_recorded
expected_trace_degree,trace_degree,-3,-3,0,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-trace-degree,verified,criterion_targets_degree_minus_3
frobenius_pairing_rows,row335_frobenius_rows,0,0,0,certificates/orientation/rhomred_orientation_frobenius_pairing/frobenius_pairing_rows.csv,verified,row335_has_no_source_Frobenius_rows
source_product_rows,compact_Hall_M_entries,0,0,0,certificates/sources/k3e_compact_hall/M_entries.csv,verified,no_source_product_rows_supplied
source_pairing_rows,compact_Hall_G_entries,0,0,0,certificates/sources/k3e_compact_hall/G_entries.csv,verified,no_source_pairing_rows_supplied
source_hopf_pairing_identity_rows,compact_Hall_hopf_pairing_identities,0,0,0,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,verified,no_trace_pairing_or_cyclicity_identity_rows_supplied
source_radical_rows,compact_Hall_K_entries,0,0,0,certificates/sources/k3e_compact_hall/K_entries.csv,verified,no_source_radical_rows_supplied
source_quotient_splitting_rows,compact_Hall_Q_entries,0,0,0,certificates/sources/k3e_compact_hall/Q_entries.csv,verified,no_source_quotient_splitting_rows_supplied
formal_pairing_degree_zero_rows,hall_pairing_pushforward,3,3,0,certificates/charge/hall_pairing_pushforward_compatibility/pairing_rows.csv,verified,three_formal_pairing_rows_are_degree_zero_not_trace_degree_minus_3
protected_integration_gram_degree_rows,protected_integration_gram_degree,1,1,0,certificates/hybrid/protected_integration_gram_degree/integration_degree_rows.csv,verified,one_target_monomial_s_degree_row_imported_as_firewall
protected_trace_functor_rows,protected_trace,0,0,0,certificates/trace/k3e_protected_trace/protected_trace_functors.csv,verified,no_level_Z_trace_functor_rows_supplied
protected_trace_identity_rows,protected_trace,0,0,0,certificates/trace/k3e_protected_trace/trace_identities.csv,verified,no_level_Z_trace_identity_rows_supplied
orientation_transition_rows,transition_orientation,0,0,0,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,verified,no_orientation_transition_rows_supplied
trace_degree_rows,trace_degree_rows,0,0,0,trace_degree_rows.csv,verified,no_source_trace_degree_rows_supplied
row337_serre_sign_claim,row337_claim,0,0,0,blocked_obligations.csv,verified,row337_kept_open

