obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,hall_coproduct_descent_status,proof_reference,check_status,notes
quotient_orientation_rows,orientation,descended_quotient_orientation_rows,quotient_borel.csv,quotient_orientation,o_C_mod_E_with_quotient_cocycle_trivialized,coproduct_descent_needs_the_orientation_line_to_descend_on_source_splitting_and_outputs,missing_open_obligation,certificates/orientation/rhomred_orientation_e_quotient_descent/blocked_obligations.csv,verified,no_quotient_orientation_rows_supplied
splitting_cocycle_comparison,orientation,coproduct_cocycle_comparison,quotient_borel.csv,splitting_transport,q_star_q_sum_equals_p_star_q_c_q_cprime,Hall_coproduct_descent_is_a_Picard_groupoid_equality_on_the_splitting_stack,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-descent-hall-coproduct,verified,no_coproduct_cocycle_comparison_row_supplied
inverse_oriented_ts_isomorphism,multiplicativity,inverse_oriented_Thom_Sebastiani_row,ts_multiplicativity.csv,inverse_coefficient_transport,TS_inverse_Phi_tensor_o_equals_TS_inverse_Phi_tensor_TS_o,Hall_coproduct_uses_inverse_oriented_coefficient_transport_not_orientation_line_alone,missing_open_obligation,certificates/orientation/rhomred_orientation_thom_sebastiani_compatibility/blocked_obligations.csv,verified,no_inverse_oriented_TS_row_supplied
determinant_square_compatibility,multiplicativity,determinant_square_compatibility,ts_multiplicativity.csv,determinant_square_diagram,(TS_o)^tensor2_equals_det_TS,inverse_coproduct_transport_requires_the_same_square_root_TS_row,missing_open_obligation,certificates/orientation/rhomred_orientation_thom_sebastiani_compatibility/blocked_obligations.csv,verified,no_determinant_square_diagram_supplied
two_step_flag_coassociativity,multiplicativity,two_step_flag_TS_coassociativity,ts_multiplicativity.csv,coassociativity_defect,coassociativity_defect_rank_zero,coassociativity_after_quotient_requires_coproduct_descent_on_flag_stacks,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/blocked_obligations.csv,verified,no_coassociativity_row_supplied
source_hall_coproduct_row,hall_coproduct,compact_Hall_coproduct_matrix,D_entries.csv,coproduct_matrix,finite_source_coproduct_constants_with_geometric_splitting_correspondence_ids,row_304_needs_a_supplied_collision_coproduct_row_not_only_a_formal_comparison,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv,verified,no_D_entries_supplied
source_counit_row,hall_coproduct,compact_Hall_counit,unit_counit.csv,counit,finite_counit_entries_for_zero_object_augmentation,counitality_is_part_of_the_coalgebra_coproduct_descent_datum,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv,verified,no_counit_entries_supplied
operation_descent_interface,quotient_after_correspondence,coproduct_descent_interface,coproduct_comparison_rows.csv,coproduct_comparison_row,source_reduced_and_theta_delta_rows_for_Delta_R,theta_delta_applies_only_to_coproduct_rows_with_descent_interfaces,missing_open_obligation,certificates/hybrid/quotient_after_correspondence_theta_mu_coproduct/coproduct_comparison_rows.csv,verified,available_conditionally_not_tied_to_orientation_rows
compact_support_pushforward_descent,six_functor,compact_support_pushforward_descent,base_change_projection.csv,compact_support_pushforward,p_bang_descent_for_the_retained_splitting_correspondence,Hall_coproduct_descent_uses_p_bang_not_a_scalar_pushforward,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/blocked_obligations.csv,verified,no_p_bang_descent_row_supplied
bialgebra_square,hall_bialgebra,product_coproduct_bialgebra_square,hall_bialgebra_identities.csv,bialgebra_compatibility,Delta_m_equals_signed_m_tensor_m_Delta_tensor_Delta,theta_coproduct_packet_needs_a_supplied_source_bialgebra_identity_row,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv,verified,no_source_bialgebra_identity_supplied
transition_compatibility,transition,Hall_coproduct_transition_compatibility,transition_defects.csv,hall_coproduct_transition,transition_coproduct_defect_rank_zero,pro_object_Hall_coproduct_requires_transition_compatibility_after_quotient,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/blocked_obligations.csv,verified,transition_coproduct_tables_empty
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,Hall_coproduct_coefficients_are_Phi_red_tensor_o_not_orientation_only,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,vanishing_cycle_complex_not_supplied
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,orientation_coproduct_descent_does_not_define_the_Pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
