obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,lim1_status,proof_reference,check_status,notes
cofinal_root_window_sequence,indexing,cofinal relation-closed root-window sequence,pairing_kernel_coverage.csv,cofinal_window,cofinal increasing downward-saturated relation-closed windows with successor witnesses,lim1 is computed on a specified inverse system not on informal window growth,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,no cofinal root-window sequence row supplied
primitive_space_input,primitive_input,primitive-space towers,pairing_maps.csv,primitive_space_input,primitive spaces and bases for both signs and parities,the pairing maps are defined on primitive spaces,missing_open_obligation,certificates/hall/primitive_space_lim1_vanishing/README.md:1,verified,no primitive-space input row supplied
pairing_matrix_rows,hopf_pairing,Hopf-pairing matrix rows,pairing_maps.csv,pairing_matrix,finite positive-negative Hopf-pairing matrix in primitive bases,the kernel tower cannot be formed before the pairing maps are supplied,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:19,verified,no Hopf-pairing matrix rows supplied
pairing_identity_rows,hopf_pairing,Hopf-pairing identity rows,pairing_maps.csv,hopf_pairing_identities,Hopf adjointness Frobenius cyclicity and quotient nondegeneracy rows,the kernels must be kernels of the Hopf pairing used by recognition not arbitrary matrices,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:20,verified,no Hopf-pairing identity rows supplied
left_kernel_rows,kernel,pairing left-kernel rows,pairing_kernel_spaces.csv,left_kernel,kernel basis and rank for the map P_gamma to dual P_minus_gamma,the left kernel is one half of the Hopf radical input,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,no left-kernel rows supplied
right_kernel_rows,kernel,pairing right-kernel rows,pairing_kernel_spaces.csv,right_kernel,kernel basis and rank for the transposed map P_minus_gamma to dual P_gamma,the right kernel is needed for the symmetric radical intersection,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,no right-kernel rows supplied
kernel_basis_rows,kernel,pairing-kernel basis rows,pairing_kernel_spaces.csv,kernel_basis,explicit finite basis for every pairing kernel,finite image equality must be checked in kernel coordinates,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,no kernel basis rows supplied
finite_rank_rows,kernel,finite rank kernel rows,pairing_kernel_spaces.csv,finite_rank,finite rank for every retained pairing kernel,finite-dimensionality is needed before finite image stabilization can be checked,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:23,verified,no finite rank kernel rows supplied
pairing_transition_input,transition,pairing transition identity,pairing_kernel_transition_maps.csv,pairing_transition_input,pairing_target of transitioned source vector against target opposite vector equals source pairing after lift,restricted kernel maps require pairing compatibility under transition,missing_open_obligation,certificates/hall/transition_radical_preservation/blocked_obligations.csv:10,verified,no pairing transition identity row supplied
restricted_kernel_transition_maps,transition,restricted pairing-kernel transition maps,pairing_kernel_transition_maps.csv,restricted_kernel_transition,linear maps between pairing-kernel bases after restricting primitive transitions,ML is a property of maps between kernel spaces,missing_open_obligation,certificates/hall/transition_radical_preservation/blocked_obligations.csv:12,verified,no restricted kernel transition maps supplied
transition_functoriality,transition,pairing-kernel transition functoriality,pairing_kernel_ml_r1lim_defects.csv,functoriality_defect_zero,zero identity and composition defect rows for kernel transition maps,lim1 is not defined without a functorial inverse system,missing_open_obligation,certificates/hall/transition_radical_preservation/blocked_obligations.csv:15,verified,no kernel functoriality defect row supplied
image_subspace_rows,image_stabilization,image subspace rows,pairing_kernel_image_stabilization.csv,image_subspace,explicit image basis inside each fixed base-window pairing kernel,ML image stabilization must be checked as a subspace equality,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,no image subspace rows supplied
image_stabilization_witness,image_stabilization,image stabilization witness,pairing_kernel_image_stabilization.csv,image_stabilization,witness window after which all later kernel images equal the stabilized image,this is the finite matrix form of the Mittag-Leffler condition,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,no image stabilization witness supplied
strict_ml_status,ml_exactness,strict Mittag-Leffler status row,pairing_kernel_ml_r1lim_defects.csv,ml_status,strict_status=strict_verified and ml_status=ml_verified for each kernel tower,the pairing-kernel inverse limit needs a verified ML row,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:35,verified,no strict ML status row supplied
r1lim_zero_row,ml_exactness,zero R1lim row,pairing_kernel_ml_r1lim_defects.csv,r1lim_zero,r1lim_rank equal to zero for every retained pairing-kernel tower,this is row 197 and the exactness needed for pairing-kernel inverse limits,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,no R1lim zero row supplied
degreewise_exhaustion,coverage,degreewise pairing-kernel coverage,pairing_kernel_coverage.csv,degreewise_coverage,coverage row for every retained Gram degree target root sign parity and kernel side,a narrow window or one charge cannot prove lim1 vanishing for all pairing kernels,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,no degreewise kernel coverage row supplied
comparison_kernel_compatibility,comparison,A_beta and target kernel compatibility,pairing_kernel_transition_maps.csv,comparison_kernel_transition,comparison maps carry source pairing kernels to target invariant-pairing kernels,the completed recognition map uses compatible source-to-target kernel towers,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:38,verified,no comparison kernel transition row supplied
no_scalar_pairing_kernel_lim1_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_pairing_kernel_lim1_substitution_excluded,excludes pairing matrices rank equality determinant nondegeneracy after quotient signed multiplicities traces target windows and radical transition alone,prevents scalar shadows or pointwise kernels from being read as R1lim vanishing,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pairing-kernel-ml,verified,firewall rows supplied but pairing-kernel ML data absent
