obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
retained_splitting_stack,moduli,retained_splitting_stack_row,certificates/moduli/k3e_finite_moduli/extension_flag_stacks.csv,splitting_stack,splitting_stack_for_E_R_c_cprime,the_pushforward_leg_has_no_domain_without_the_splitting_stack,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,no_splitting_stack_rows_supplied
p_map_row,correspondence,p_map_row,pushforward_rows.csv,p_map,p_colon_E_to_M_c_times_M_cprime_with_source_and_target_stack_ids,p_bang_is_attached_to_a_specific_morphism_not_to_notation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,no_p_map_rows_supplied
p_map_proper_or_compactified,six_functor,p_properness_or_compactification_witness,pushforward_rows.csv,p_proper_or_compactified,p_is_proper_or_p_equals_bar_p_after_open_immersion,exceptional_pushforward_requires_properness_or_a_compact_support_model,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,no_p_properness_or_compactification_witness_supplied
compact_support_model_population,six_functor,p_compact_support_model_row,certificates/hybrid/compact_support_exceptional_pushforward_model/map_population_rows.csv,map_population,p_specific_j_p_and_bar_p_for_the_retained_Hall_correspondence,the_general_model_does_not_populate_the_Hall_p_map,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,map_population_table_header_only
input_coefficient_constructible,coefficient,input_coefficient_constructibility,certificates/moduli/k3e_finite_moduli/cosection_atlas.csv,coefficient_row,K_E_after_q_star_and_inverse_TSred_on_splitting_stack,pushforward_preserves_the_constructible_coefficient_only_after_the_coefficient_is_supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,no_coefficient_row_supplied
inverse_thom_sebastiani_row,coefficient,inverse_TS_coproduct_rows,certificates/hall/finite_hall_coproduct_operator/coproduct_operator_rows.csv,inverse_ts_row,TSred_inverse_from_q_star_source_coefficients_to_two_output_coefficients,the_p_bang_input_coefficient_is_after_inverse_reduced_Thom_Sebastiani_transport,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,no_inverse_TS_row_supplied
pushforward_row,six_functor,populated_pushforward_row,pushforward_rows.csv,pushforward_row,p_bang_input_coefficient_to_product_target_coefficient,row348_requires_the_actual_p_bang_leg_for_each_retained_coproduct_block,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,pushforward_rows_table_header_only
compactification_independence_separate,row_later,choice_independence_rows,certificates/hybrid/compact_support_exceptional_pushforward_model/choice_independence_rows.csv,choice_independence,p_bang_independent_of_compactification,existence_does_not_compare_two_compactifications,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,no_choice_independence_rows_supplied
row347_notation_not_pbang,row347,coproduct_operator_notation,certificates/hall/finite_hall_coproduct_operator/manifest.json,coproduct_operator_definition,Delta_R_formula_contains_p_bang_but_pushforward_exists_proved_false,row347_explicitly_left_p_bang_open,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,row347_not_promoted
coproduct_matrix_rows,matrix,source_coproduct_matrix_rows,certificates/sources/k3e_compact_hall/D_entries.csv,coproduct_matrix,finite_source_coproduct_constants_in_homogeneous_bases,a_populated_coproduct_requires_matrix_entries_after_the_geometric_pull_push,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,no_D_entries_supplied
transition_coproduct_rows,transition,coproduct_transition_rows,certificates/hall/transition_hall_coproduct_preservation/coproduct_matrix_transport.csv,intertwining_defect_zero,coproduct_matrix_intertwines_with_HN_transitions,the_pro_object_coproduct_requires_transition_preservation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-coproduct-pushforward-existence,verified,no_transition_coproduct_rows_supplied
