obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,orientation_transition_status,proof_reference,check_status,notes
transition_geometry_input,moduli_transition,proper or closed stack transition input,orientation_transition_maps.csv,stack_transition_id,imports finite-moduli transition geometry row for the same R to R prime,orientation transport is not defined without an underlying stack transition,missing_open_obligation,certificates/moduli/finite_moduli_transition_geometry/README.md:1,verified,no stack transition input row supplied
orientation_line_pullback,picard_groupoid,orientation-line pullback isomorphism,orientation_transition_maps.csv,pullback_isomorphism,t_RRprime star o_Rprime is isomorphic to o_R in Picard groupoid,preservation of orientation is a line isomorphism not a scalar equality,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no orientation pullback row supplied
determinant_square_commutes,picard_groupoid,determinant square compatibility,orientation_transition_maps.csv,determinant_square_commutes,square root diagram for determinant complexes commutes,the pullback isomorphism must preserve the Joyce-Upmeier square root,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no determinant square compatibility row supplied
reduced_gerbe_trivialization_transport,quotient_borel,reduced gerbe trivialization transport,null_trivialization_transport.csv,reduced_gerbe_transport,alpha_red null trivialization pulls back to alpha_red source trivialization,orientation descent includes the reduced Cech-Borel gerbe not just the line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no reduced gerbe transport row supplied
free_e_trivialization_transport,quotient_borel,free E trivialization transport,null_trivialization_transport.csv,free_e_transport,alpha_E_free null trivialization pulls back compatibly,descent through the free E quotient must survive HN transition,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no free E transport row supplied
finite_stabilizer_trivialization_transport,finite_stabilizer,finite stabilizer trivialization transport,null_trivialization_transport.csv,finite_stabilizer_transport,beta_H edge and null trivialization transported for every retained stabilizer,finite stabilizer quotient orientation is part of O1 and must be preserved,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no finite stabilizer transport row supplied
linearization_transport,finite_stabilizer,zero linearization transport,null_trivialization_transport.csv,linearization_transport,lambda_H equals zero transported with defect rank zero,the H1 linearization character is independent orientation data,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no linearization transport row supplied
ts_transition_compatibility,multiplicativity,Thom-Sebastiani transition compatibility,multiplicative_weyl_transport.csv,ts_transition,TS isomorphisms commute with transition on extension and flag stacks,Hall product orientation transport requires multiplicativity under transitions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no TS transition row supplied
weyl_lift_transition_compatibility,weyl_transport,Weyl lift transition compatibility,multiplicative_weyl_transport.csv,weyl_lift_transition,tau_i rows commute with R to R prime transition,Weyl-equivariant orientation transport must survive finite-stage transitions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no Weyl lift transition row supplied
coxeter_cochain_transition,weyl_transport,Coxeter cochain transition compatibility,multiplicative_weyl_transport.csv,coxeter_cochain_transition,cochain killing projective cocycle pulls back compatibly,the honest Weyl action requires transition-compatible Coxeter coherence,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no Coxeter cochain transition row supplied
strict_picard_groupoid_transition,defect,strict Picard groupoid transition,transition_defects.csv,picard_groupoid_defect_zero,picard_groupoid_defect_rank and composition_defect_rank equal zero,finite stages form an oriented inverse system only with strict Picard transitions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,no strict Picard transition row supplied
orientation_mittag_leffler,defect,orientation Mittag-Leffler row,transition_defects.csv,orientation_ml,r1lim_rank equals zero for orientation Picard data,inverse-limit orientation cannot be inferred from finite rows without ML exactness,missing_open_obligation,appendices/G_obstruction_discharges.tex:293,verified,no orientation ML row supplied
no_scalar_orientation_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_orientation_substitution_excluded,excludes scalar trace squared determinant OP branch Maass character Pfaffian product and target windows,prevents scalar shadows from being read as Picard-groupoid orientation transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-orientation-preservation,verified,firewall rows supplied but orientation transport absent
