obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_G_entries,hopf_pairing,source positive-negative pairing matrix,certificates/sources/k3e_compact_hall/G_entries.csv,G_entry,finite source pairing constants,the theorem distinguishes this matrix from Hopf radical descent,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_G_entries_supplied
source_K_entries,radical_quotient,source radical kernel matrix,certificates/sources/k3e_compact_hall/K_entries.csv,K_entry,finite kernel basis for source G,K is only a linear radical until Hpair defects vanish,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_K_entries_supplied
source_Q_entries,radical_quotient,source quotient splitting matrix,certificates/sources/k3e_compact_hall/Q_entries.csv,Q_entry,finite splitting of source radical quotient,Q does not imply quotient Hopf structure,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_Q_entries_supplied
hopf_adjointness_defects,hopf_pairing,Hopf-adjointness defect rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,hopf_adjointness,zero defect rank for product-coproduct pairing adjointness,coideal stability follows from Hopf adjointness not from K alone,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_adjointness_rows_supplied
frobenius_cyclic_defects,hopf_pairing,Frobenius cyclic defect rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,frobenius_cyclic,zero defect rank for primitive Frobenius cyclic identity,Lie-ideal stability follows from Frobenius cyclicity not from K alone,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_Frobenius_rows_supplied
quotient_nondegeneracy_witnesses,hopf_pairing,quotient nondegeneracy rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,quotient_nondegenerate,full-rank quotient pairing witnesses,nondegeneracy after quotient is a separate finite rank input,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_qnd_rows_supplied
radical_coideal_rows,radical_quotient,radical coproduct coideal rows,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,coproduct_coideal,zero quotient coproduct of radical basis,coideal stability is the Hopf coalgebra part of radical descent,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_coideal_rows_supplied
radical_lie_ideal_rows,radical_quotient,radical Lie ideal rows,certificates/sources/k3e_compact_hall/radical_ideal_coideal.csv,lie_ideal,zero bracket image modulo radical,Lie-ideal stability is the primitive Lie part of radical descent,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_lie_ideal_rows_supplied
quotient_hopf_pairing_rows,radical_quotient,quotient Hopf-pairing rows,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,quotient_hopf_pairing,descended bracket coproduct and pairing rows,the quotient carries Hopf data only after the defect and stability rows vanish,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,no_quotient_Hopf_rows_supplied
source_vs_target_firewall,firewall,source-target radical firewall,scalar_firewall.csv,target_source_separation,target radical and BKM Hopf form cannot supply compact source radical descent,comparison occurs after source quotient construction,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,target_shortcut_excluded
scalar_trace_firewall,firewall,scalar trace firewall,scalar_firewall.csv,trace_separation,level-Z protected trace is not source Hopf pairing data,scalar shadow cannot prove operator-level radical descent,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:pairing-matrix-not-hopf-pairing-proof,verified,scalar_trace_shortcut_excluded
