firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
FW_ext_extension_flags,extension_flag_stacks,true,0,retained extension-closure packet,verified,extension closure rows do not construct extension or flag stacks
FW_ext_two_step_flags,two_step_flag_stacks,true,0,retained extension-closure packet,verified,extension closure rows do not construct two-step flag stacks
FW_ext_hn_factor_closure,hn_factor_closure,true,0,retained extension-closure packet,verified,extension closure rows do not prove HN-factor closure
FW_ext_dual_closure,dual_closure,true,0,retained extension-closure packet,verified,dual closure is supplied by the retained dual-closure packet and not by extension closure
FW_ext_cosection_atlas,cosection_atlas,true,0,retained extension-closure packet,verified,extension closure rows do not construct a cosection atlas
FW_ext_transitions,transitions,true,0,retained extension-closure packet,verified,extension closure rows do not construct finite-moduli transitions
FW_ext_scalar_firewall,scalar_firewall,true,0,retained extension-closure packet,verified,extension closure rows are not the global finite-moduli scalar firewall
FW_ext_compact_hall_stage,compact_hall_stage,true,0,retained extension-closure packet,verified,extension closure rows do not construct compact Hall support
FW_ext_pfaffian_orientation,pfaffian_orientation,true,0,retained extension-closure packet,verified,extension closure rows do not construct a Pfaffian orientation
FW_ext_protected_trace,protected_trace,true,0,retained extension-closure packet,verified,extension closure rows do not construct a protected trace
