firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_borcherds_s_degree,Borcherds_s_degree,true,0,chapters/02_k3xe_setup.tex:2639,verified,the Borcherds s-degree is a trace exponent not the geometric E-degree map
firewall_pr3_gram,pr3_overlinePi_X,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:geometric-borcherds-degree-separation,verified,the third normal-ordered Gram coordinate is not b_R^geom
firewall_ordinary_ran,ordinary_Ran_locality,true,0,chapters/05_subsections/05_1_hybrid.tex:74,verified,ordinary Ran locality detects only projection-finite support
firewall_determinant_anchor,determinant_anchor_only,true,0,chapters/05_subsections/05_1_hybrid.tex:189,verified,wrapped anchors do not define the elliptic-degree map
firewall_target_window,target_window_only,true,0,certificates/charge/finite_test_window,verified,target test windows live in Gamma_gram and do not provide cycle pushforwards
firewall_hilbert_polynomial,Hilbert_polynomial_only,true,0,certificates/moduli/retained_class_bounds,verified,Hilbert polynomial bounds do not supply the N_1 pushforward degree row
firewall_empty_hybrid,empty_hybrid_carrier,true,0,certificates/hybrid/k3e_hybrid_carrier,verified,the empty hybrid packet has no degree-map rows
firewall_scalar_trace,scalar_trace,true,0,chapters/09_zbps_realization.tex,verified,a scalar trace does not define the geometric support degree
firewall_pfaffian_product,pfaffian_product,true,0,chapters/06_pfaffian_dirac.tex,verified,a scalar Pfaffian product is not a cycle pushforward computation
firewall_positive_support_claim,positive_support_claim_only,true,0,chapters/05_subsections/05_1_hybrid.tex:15,verified,the support-locality lemma explains the obstruction but does not populate b_R^geom rows
