terminal_degree_id,source_check_ids,beta_c1,beta_c2,beta_c3,gamma_n,gamma_l,gamma_m,height,norm,signed_dimension,additive_m,terminal_in_wsat,source_obligation_count,missing_nonzero_subdegree_count,missing_nonzero_subdegree_ids,proof_reference,check_status,notes
beta_1_2_5,ps_delta_3_D_1,1,2,5,1,-2,2,8,-8,108,-54,false,1,3,beta_0_2_3;beta_1_2_3;beta_1_2_4,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_1_5_2,ps_delta_2_D_1,1,5,2,1,4,5,8,-8,108,-54,false,1,3,beta_0_3_2;beta_1_3_2;beta_1_4_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_1_5,ps_delta_3_D_2,2,1,5,2,-2,1,8,-8,108,-54,false,1,3,beta_2_0_3;beta_2_1_3;beta_2_1_4,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_5_1,ps_delta_2_D_3,2,5,1,2,6,5,8,-8,0,-162,false,1,3,beta_2_3_0;beta_2_3_1;beta_2_4_1,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_5_1_2,ps_delta_1_D_2,5,1,2,5,4,1,8,-8,108,-54,false,1,3,beta_3_0_2;beta_3_1_2;beta_4_1_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_5_2_1,ps_delta_1_D_3,5,2,1,5,6,2,8,-8,0,-162,false,1,3,beta_3_2_0;beta_3_2_1;beta_4_2_1,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_1_2_6,ps_delta_3_C_2_2,1,2,6,1,-3,2,9,2,1,-90,false,1,3,beta_0_2_3;beta_1_2_3;beta_1_2_4,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_1_6_2,ps_delta_2_C_3_2,1,6,2,1,5,6,9,2,1,-90,false,1,3,beta_0_3_2;beta_1_3_2;beta_1_4_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_1_6,ps_delta_3_C_1_2,2,1,6,2,-3,1,9,2,1,-90,false,1,3,beta_2_0_3;beta_2_1_3;beta_2_1_4,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_6_1,ps_delta_2_C_1_2,2,6,1,2,7,6,9,2,0,17,false,1,3,beta_2_3_0;beta_2_3_1;beta_2_4_1,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_6_1_2,ps_delta_1_C_3_2,6,1,2,6,5,1,9,2,1,-90,false,1,3,beta_3_0_2;beta_3_1_2;beta_4_1_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_6_2_1,ps_delta_1_C_2_2,6,2,1,6,7,2,9,2,0,17,false,1,3,beta_3_2_0;beta_3_2_1;beta_4_2_1,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_2_7,ps_delta_3_2delta123,2,2,7,2,-3,2,11,-14,-513,540,false,1,10,beta_0_2_3;beta_1_2_3;beta_1_2_4;beta_2_0_3;beta_2_1_3;beta_2_1_4;beta_2_2_3;beta_2_2_4;beta_2_2_5;beta_2_2_6,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_7_2,ps_delta_2_2delta123,2,7,2,2,7,7,11,-14,0,4106,false,1,8,beta_0_3_2;beta_1_3_2;beta_1_4_2;beta_2_3_0;beta_2_3_1;beta_2_3_2;beta_2_4_1;beta_2_4_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_7_2_2,ps_delta_1_2delta123,7,2,2,7,7,2,11,-14,0,4106,false,1,8,beta_3_0_2;beta_3_1_2;beta_3_2_0;beta_3_2_1;beta_3_2_2;beta_4_1_2;beta_4_2_1;beta_4_2_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_2_8,ps_delta_3_D_3,2,2,8,2,-4,2,12,0,10,-54,false,1,10,beta_0_2_3;beta_1_2_3;beta_1_2_4;beta_2_0_3;beta_2_1_3;beta_2_1_4;beta_2_2_3;beta_2_2_4;beta_2_2_5;beta_2_2_6,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_8_2,ps_delta_2_D_2,2,8,2,2,8,8,12,0,0,-694,false,1,8,beta_0_3_2;beta_1_3_2;beta_1_4_2;beta_2_3_0;beta_2_3_1;beta_2_3_2;beta_2_4_1;beta_2_4_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_8_2_2,ps_delta_1_D_1,8,2,2,8,8,2,12,0,0,-694,false,1,8,beta_3_0_2;beta_3_1_2;beta_3_2_0;beta_3_2_1;beta_3_2_2;beta_4_1_2;beta_4_2_1;beta_4_2_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_2_9,ps_delta_3_2a_12,2,2,9,2,-5,2,13,18,0,27,false,1,10,beta_0_2_3;beta_1_2_3;beta_1_2_4;beta_2_0_3;beta_2_1_3;beta_2_1_4;beta_2_2_3;beta_2_2_4;beta_2_2_5;beta_2_2_6,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_2_9_2,ps_delta_2_2a_13,2,9,2,2,9,9,13,18,0,36,false,1,8,beta_0_3_2;beta_1_3_2;beta_1_4_2;beta_2_3_0;beta_2_3_1;beta_2_3_2;beta_2_4_1;beta_2_4_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
beta_9_2_2,ps_delta_1_2a_23,9,2,2,9,9,2,13,18,0,36,false,1,8,beta_3_0_2;beta_3_1_2;beta_3_2_0;beta_3_2_1;beta_3_2_2;beta_4_1_2;beta_4_2_1;beta_4_2_2,compute/verify_wrel_degree_closure_fixture.py terminal_layer_expected_rows,verified,terminal-layer row forced by the post-saturation real-string audit; not a compact-source representative
