firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_wrel_prefix,wrel_finite_prefix_only,true,0,certificates/targets/delta5_gn_kac/wrel_degree_closure,verified,the 645-row target prefix is target-only and the tail continues
firewall_wrel_tail,wrel_tail_staircase_only,true,0,certificates/targets/delta5_gn_kac/wrel_tail_staircase,verified,the symbolic tail proves target growth but not HN-stage realization
firewall_target_closure,target_degree_closure_only,true,0,certificates/targets/delta5_gn_kac/wrel_degree_closure,verified,target relation closure does not supply c in Gamma_R^HN
firewall_finite_test_definition,finite_test_window_definition_only,true,0,certificates/charge/finite_test_window,verified,the formula for Gamma_R^test does not populate image witnesses
firewall_active_root_exhaustion,active_root_exhaustion_only,true,0,certificates/lattice/active_root_window_exhaustion,verified,target root cofinality is not HN finite-R realization
firewall_downward_windows,downward_root_windows_only,true,0,certificates/lattice/downward_root_windows,verified,height windows do not supply HN charge witnesses
firewall_charge_window_empty,empty_charge_window,true,0,certificates/charge/k3e_charge_window,verified,the empty charge-window scaffold has no target image rows
firewall_source_compact_support,source_compact_support_only,true,0,certificates/sources/source_window_compact_support,verified,source compact-support obstruction does not construct target image witnesses
firewall_target_source_compatibility,target_source_compatibility_only,true,0,certificates/sources/target_source_window_compatibility,verified,compatibility rows require finite-R target windows; they do not construct them
firewall_signed_multiplicity,signed_multiplicity_only,true,0,certificates/jacobi/k3e_first_relation_window_coefficients,verified,Jacobi coefficients do not supply HN charges or translates
firewall_pfaffian_product,pfaffian_product,true,0,chapters/06_pfaffian_dirac.tex,verified,a scalar Pfaffian product is not a finite-R target witness
firewall_protected_trace,protected_trace,true,0,certificates/trace/k3e_protected_trace,verified,protected traces are scalar shadows not HN-stage realizations
