obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,primitive_transition_status,proof_reference,check_status,notes
source_hall_coproduct_matrix,hall_coproduct,source Hall coproduct matrix,primitive_kernel_rows.csv,source_D_matrix,finite source coproduct constants in the source stage,the primitive subspace is not defined before the source coproduct exists,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:7,verified,no source D matrix supplied
target_hall_coproduct_matrix,hall_coproduct,target Hall coproduct matrix,primitive_kernel_rows.csv,target_D_matrix,finite target-stage coproduct constants in the source tower,the target primitive subspace is not defined before the target coproduct exists,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/README.md:1,verified,no target D matrix supplied
source_counit_map,hall_coproduct,source Hall counit map,primitive_kernel_rows.csv,source_counit,source counit entries for the compact Hall coalgebra,primitives are the intersection with the counit kernel,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:9,verified,no source counit row supplied
target_counit_map,hall_coproduct,target Hall counit map,primitive_kernel_rows.csv,target_counit,target counit entries for the compact Hall coalgebra,the target primitive condition includes the target counit kernel,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/blocked_obligations.csv:6,verified,no target counit row supplied
source_reduced_coproduct_matrix,hall_coproduct,source reduced coproduct matrix,primitive_kernel_rows.csv,source_reduced_coproduct,Delta minus eta epsilon tensor id minus id tensor eta epsilon for the source stage,the primitive kernel uses the reduced coproduct not the raw coproduct,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-primitive-subspace-preservation,verified,no source reduced-coproduct matrix supplied
target_reduced_coproduct_matrix,hall_coproduct,target reduced coproduct matrix,primitive_kernel_rows.csv,target_reduced_coproduct,Delta minus eta epsilon tensor id minus id tensor eta epsilon for the target stage,the target primitive kernel uses the reduced coproduct not the raw coproduct,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-primitive-subspace-preservation,verified,no target reduced-coproduct matrix supplied
source_primitive_kernel,primitive_kernel,source primitive kernel row,primitive_kernel_rows.csv,source_kernel,rank and basis for ker reduced Delta intersect ker epsilon at the source stage,the transition cannot be restricted before the source primitive subspace is computed,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-primitive-subspace-preservation,verified,no source primitive kernel row supplied
target_primitive_kernel,primitive_kernel,target primitive kernel row,primitive_kernel_rows.csv,target_kernel,rank and basis for ker reduced Delta intersect ker epsilon at the target stage,the image condition must land in an explicit target primitive subspace,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-primitive-subspace-preservation,verified,no target primitive kernel row supplied
ambient_transition_matrix,transition,ambient Hall transition matrix,primitive_transition_matrices.csv,ambient_transition,finite transition matrix on the compact Hall ambient space,the primitive image is computed by restricting the ambient transition,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:35,verified,no ambient Hall transition matrix supplied
hall_coproduct_transition_input,transition,Hall coproduct transition identity,kernel_intertwining.csv,coproduct_transition,intertwining of reduced coproducts by T tensor T and T,primitive preservation follows from coproduct transition compatibility,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/README.md:1,verified,no Hall coproduct transition row supplied
counit_transition_compatibility,transition,counit transition identity,kernel_intertwining.csv,counit_transition,epsilon target composed with T equals epsilon source,the target counit must vanish on transitioned source primitives,missing_open_obligation,certificates/hall/transition_hall_coproduct_preservation/blocked_obligations.csv:17,verified,no counit transition row supplied
kernel_intertwining_identity,transition,kernel intertwining identity,kernel_intertwining.csv,kernel_intertwining,block identity A target T equals U A source for A=(reduced coproduct plus counit),linear algebra proves kernel preservation only after this identity is supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-primitive-subspace-preservation,verified,no kernel intertwining row supplied
primitive_projection_matrix,primitive_projection,primitive projection matrix,primitive_transition_matrices.csv,primitive_projection,finite idempotent or inclusion-projection data for the primitive kernel,the finite stage must identify the primitive summand used by later recognition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:109,verified,no primitive projection matrix supplied
primitive_restricted_transition_matrix,transition,restricted primitive transition matrix,primitive_transition_matrices.csv,restricted_transition,target primitive coordinates for T restricted to the source primitive basis,transition preservation is a map between primitive subspaces not only an ambient map,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-primitive-subspace-preservation,verified,no restricted primitive transition row supplied
primitive_transition_composition,defect,primitive transition composition law,transition_defects.csv,composition_defect_zero,successive restricted primitive transitions compose with zero defect,the primitive subspaces must form a functorial inverse system before later inverse-limit arguments,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:transition-primitive-subspace-preservation,verified,no primitive transition composition row supplied
no_scalar_primitive_subspace_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_primitive_subspace_substitution_excluded,excludes scalar traces denominator products signed multiplicities target root spaces bar primitives normal ordering and rank-only rows,prevents scalar shadows or formal kernels from being read as compact Hall primitive transition preservation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-primitive-subspace-preservation,verified,firewall rows supplied but primitive transition data absent
