obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,vanishing_cycle_status,proof_reference,check_status,notes
transition_geometry_input,moduli_transition,proper or closed stack transition input,dcritical_chart_transitions.csv,stack_transition_id,imports finite-moduli transition geometry row for the same R to R prime,vanishing-cycle transport is not defined without a transition graph,missing_open_obligation,certificates/moduli/finite_moduli_transition_geometry/README.md:1,verified,no stack transition input row supplied
orientation_transition_input,orientation_transition,orientation transition input,vanishing_cycle_transport.csv,orientation_transition_id,imports Picard-groupoid orientation transport row,BBDJS gluing of vanishing cycles depends on the orientation cocycle,missing_open_obligation,certificates/orientation/transition_orientation_preservation/README.md:1,verified,no orientation transition input row supplied
dcritical_chart_transition,dcritical_chart,d-critical chart transition,dcritical_chart_transitions.csv,dcritical_chart_transition,source chart target chart and transition graph for retained critical loci,vanishing cycles are chart-local before BBDJS descent,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-vanishing-cycle-preservation,verified,no d-critical chart transition row supplied
potential_compatibility,dcritical_chart,potential compatibility,dcritical_chart_transitions.csv,potential_compatibility,potential_source equals pullback of potential_target modulo recorded stabilization,the perverse sheaf of vanishing cycles is not functorial without potential compatibility,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-vanishing-cycle-preservation,verified,no potential compatibility row supplied
quadratic_stabilization,dcritical_chart,quadratic stabilization row,dcritical_chart_transitions.csv,quadratic_stabilization,nondegenerate quadratic stabilization id and parity shift,the BBDJS chart comparison allows stabilization only with recorded shift,missing_open_obligation,appendices/D_hall_correspondences.tex:460,verified,no quadratic stabilization row supplied
cosection_pullback,cosection,cosection pullback compatibility,cosection_compatibility.csv,cosection_pullback,pullback of target semiregularity cosection equals source cosection,Cosection-localized vanishing cycles require reduced obstruction theories to match,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-vanishing-cycle-preservation,verified,no cosection pullback row supplied
reduced_obstruction_complex_map,cosection,reduced obstruction complex transition,cosection_compatibility.csv,reduced_complex_map,map between reduced obstruction complexes with zero defect,the reduced vanishing-cycle complex is built from the reduced obstruction theory,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-vanishing-cycle-preservation,verified,no reduced obstruction complex map supplied
graph_pullback_vc_isomorphism,vanishing_cycle,graph pullback isomorphism,vanishing_cycle_transport.csv,graph_pullback_isomorphism,p_source star Phi_source is isomorphic to p_target star Phi_target on transition graph,transition preservation of vanishing cycles is an isomorphism in constructible derived categories,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-vanishing-cycle-preservation,verified,no graph pullback vanishing-cycle row supplied
perverse_normalization,vanishing_cycle,perverse normalization row,vanishing_cycle_transport.csv,perverse_normalization,perverse shift and defect rank equal zero after stabilization,the transition must preserve the BBDJS perverse normalization,missing_open_obligation,appendices/D_hall_correspondences.tex:460,verified,no perverse normalization row supplied
support_and_base_change,base_change,support and base-change compatibility,ts_base_change.csv,proper_base_change,proper base-change and support defect ranks equal zero,Hall transport needs compact support and proper base-change for the same complexes,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-vanishing-cycle-preservation,verified,no support or base-change row supplied
ts_vanishing_cycle_compatibility,ts,Thom-Sebastiani vanishing-cycle compatibility,ts_base_change.csv,ts_vanishing_cycle_transport,TS vanishing-cycle isomorphism commutes with transition on extension and two-step flag stacks,Hall products require TS-compatible vanishing-cycle transition maps,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-vanishing-cycle-preservation,verified,no TS vanishing-cycle transition row supplied
composition_zero,defect,zero composition defect,transition_defects.csv,composition_defect_zero,composition_defect_rank equals zero,finite-stage vanishing-cycle transitions must compose strictly,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-vanishing-cycle-preservation,verified,no composition defect row supplied
vanishing_cycle_mittag_leffler,defect,vanishing-cycle Mittag-Leffler row,transition_defects.csv,vanishing_cycle_ml,r1lim_rank equals zero for reduced vanishing-cycle complexes,inverse-limit vanishing cycles require strict ML exactness,missing_open_obligation,appendices/G_obstruction_discharges.tex:315,verified,no vanishing-cycle ML row supplied
no_scalar_vanishing_cycle_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_vanishing_cycle_substitution_excluded,excludes scalar trace Euler characteristic Behrend number Pfaffian product orientation-only target windows D0 scalar tests and signed multiplicities,prevents scalar shadows from being read as perverse-sheaf transition data,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:transition-vanishing-cycle-preservation,verified,firewall rows supplied but vanishing-cycle transport absent
