obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,extension_status,proof_reference,check_status,notes
extension_stack,correspondence,retained_extension_stack,extension_stack_rows.csv,extension_stack_row,p_and_q_maps_for_retained_extension,extension_multiplicativity_lives_on_the_extension_stack_not_only_middle_type_closure,missing_open_obligation,certificates/moduli/retained_extension_closure/manifest.json,verified,retained_extension_closure_does_not_construct_extension_stack
reduced_dcritical_chart,orientation,reduced_dcritical_chart_on_extension,dcritical_rows.csv,reduced_chart,extension_potential_comparison_after_cosection_reduction,BBDJS_TS_requires_reduced_dcritical_charts_on_the_correspondence,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,no_extension_dcritical_chart_row_supplied
orientation_square_root,orientation,orientation_square_root,orientation_lines.csv,square_root_row,line_id_square_root_id_square_defect_rank_zero,extension_multiplicativity_requires_actual_orientation_lines,missing_open_obligation,certificates/orientation/rhomred_square_root/blocked_obligations.csv,verified,no_square_root_row_supplied
determinant_comparison,orientation,exact_triangle_determinant_comparison,ts_multiplicativity.csv,determinant_comparison,square_of_TS_orientation_equals_reduced_determinant_comparison,Joyce_Upmeier_multiplicativity_requires_the_determinant_comparison_on_extensions,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-extension-multiplicativity,verified,no_determinant_comparison_row_supplied
extension_ts_isomorphism,multiplicativity,extension_Thom_Sebastiani_orientation_isomorphism,ts_multiplicativity.csv,ts_isomorphism,extension_stack_id_left_line_id_right_line_id_target_line_id_ts_isomorphism_id,row_300_requires_the_Picard_groupoid_product_isomorphism,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_TS_isomorphism_row_supplied
coefficient_ts_compatibility,multiplicativity,coefficient_system_TS_compatibility,ts_multiplicativity.csv,coefficient_transport,TS_for_vanishing_cycles_tensor_orientation_transport,Hall_product_uses_the_oriented_coefficient_system,missing_open_obligation,certificates/hybrid/mixed_correspondence_thom_sebastiani/manifest.json,verified,mixed_TS_packet_is_conditional_on_orientation_transport
ts_pentagon,multiplicativity,two_step_flag_pentagon,ts_multiplicativity.csv,pentagon_defect,pentagon_defect_rank_zero,associativity_of_oriented_Hall_products_requires_zero_pentagon_defect,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_pentagon_row_supplied
quotient_descent,orientation,quotient_descent_of_extension_orientation,quotient_borel.csv,quotient_transport,extension_orientation_descends_through_E_quotient,O1_requires_descent_of_orientation_transport,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,quotient_orientation_not_supplied
transition_compatibility,transition,extension_orientation_transition_compatibility,transitions.csv,strict_orientation_transition,strict_status_strict_verified,pro_object_coherence_requires_transport_of_extension_multiplicativity,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,transition_rows_not_supplied
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,extension_TS_acts_on_vanishing_cycle_coefficient_systems,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,vanishing_cycle_complex_not_supplied
compact_support_admissibility,hall,compact_support_pull_push_admissibility,hall_rows.csv,admissibility_row,p_star_and_q_bang_exist_on_retained_extension_stack,Hall_product_needs_admissible_pull_push_beyond_orientation_transport,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:def:compact-geometric-hall-bialgebra-datum,verified,compact_support_admissibility_not_supplied
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,orientation_multiplicativity_alone_does_not_define_the_Pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
