obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,local_local_status,proof_reference,check_status,notes
extension_stack_rows,local_local_extension,actual local/local extension stack rows,extension_stack_rows.csv,extension_stack_row,E_LL flag stack for each retained ordered local colour pair,row 210 defines the type but does not populate finite extension stacks,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:local-local-correspondence-datum,verified,no extension stack rows supplied
source_target_map_rows,local_local_maps,source and target maps for LL diagram,source_target_map_rows.csv,map_row,p and q maps to ordered local source carrier and local target carrier,the definition states the formulas but map rows remain unpopulated,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:local-local-correspondence-datum,verified,no source-target map rows supplied
target_local_colour_rows,degree_map,target local colour verification,extension_stack_rows.csv,target_colour_row,gamma equals sum alpha plus sum beta and lies in Gamma_R_loc,this uses b_R^geom additivity rows not supplied in this packet,missing_open_obligation,certificates/hybrid/geometric_elliptic_degree_additivity/README.md:1,verified,no target colour rows supplied
descent_rows,descent,symmetric and collision descent for LL stacks,descent_rows.csv,descent_row,symmetric descent and collision descent defect ranks zero,row 210 defines the ordered prestack correspondence before descent,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:local-local-correspondence-datum,verified,no descent rows supplied
properness_rows,properness,properness of local/local extension stacks,properness_rows.csv,properness_row,compact-support model and properness defect zero,row 221 asks for properness of local/local extension stacks,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1185,verified,no properness rows supplied
thom_sebastiani_rows,thom_sebastiani,Thom-Sebastiani transport for LL correspondences,thom_sebastiani_rows.csv,ts_row,vanishing-cycle source and target identifications with TS defect zero,the hybrid correspondence category needs TS transport before local multiplication,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,no Thom-Sebastiani rows supplied
transition_rows,transition,finite-stage LL correspondence transitions,transition_rows.csv,transition_row,R to Rprime maps compatible with colours collisions and descent,the pro-correspondence category needs compatible LL arrows,missing_open_obligation,certificates/hybrid/k3e_hybrid_carrier/transitions.csv:1,verified,no transition rows supplied
collision_rows,collision,Ran collision compatibility rows,source_target_map_rows.csv,collision_row,compatibility of K=I disjoint union J with diagonals and local collisions,the LL target carrier is local Ran data and must respect collisions,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:local-local-correspondence-datum,verified,no collision rows supplied
mixed_separate,mixed,one-sided mixed correspondence definition,extension_stack_rows.csv,mixed_row,LW and WL extension stack definitions,row 208 is separate from row 210,missing_open_obligation,certificates/hybrid/mixed_local_wrapped_correspondence_definition/README.md:1,verified,no mixed rows supplied here
wrapped_wrapped_separate,wrapped_wrapped,wrapped-wrapped correspondence definition,extension_stack_rows.csv,wrapped_wrapped_row,WW extension stack definition for two wrapped inputs,row 209 is separate from row 210,missing_open_obligation,certificates/hybrid/wrapped_wrapped_correspondence_definition/README.md:1,verified,no wrapped-wrapped rows supplied here
two_sided_mixed_separate,two_sided_mixed,ordered two-sided mixed correspondence definition,extension_stack_rows.csv,two_sided_mixed_row,local inputs on both sides of one wrapped input,row 211 is separate from row 210,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1165,verified,no two-sided mixed rows supplied
