obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,sign_status,proof_reference,check_status,notes
orientation_character_constructed,orientation_character,row_319_constructed_character,certificates/orientation/rhomred_weyl_orientation_character_definition/manifest.json,orientation_character_constructed_true,epsilon_o_R_as_source_side_homomorphism,row_320_evaluates_the_character_defined_in_row_319,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,row_319_manifest_has_constructed_false
simple_wall_coverage,o2_wall_atlas,three_simple_type_II_wall_objects,wall_objects.csv,simple_type_ii_wall_coverage,delta_1_delta_2_delta_3_represented,row_320_needs_all_three_simple_walls,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,O2_simple_wall_coverage_absent
rank_one_wall_chart,o2_wall_atlas,rank_one_wall_chart,wall_charts.csv,normal_rank_row,normal_rank_equals_1,local_sign_formula_requires_rank_one_normal_crossing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_rank_one_wall_chart_row
normal_coordinate,o2_wall_atlas,normal_coordinate,wall_charts.csv,normal_coordinate_row,u_i_coordinate_on_wall_chart,sign_formula_uses_the_normal_coordinate_u_i,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_normal_coordinate_row
reflection_flip,o2_wall_atlas,reflection_coordinate_flip,wall_charts.csv,reflection_flip_row,s_delta_i_u_i_equals_minus_u_i,minus_sign_requires_actual_coordinate_flip,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_reflection_flip_row
invariant_unit,o2_wall_atlas,invariant_pfaffian_unit,wall_charts.csv,unit_invariant_row,s_delta_i_upsilon_i_equals_upsilon_i,unit_must_have_trivial_reflection_character_for_sign_minus_one,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_invariant_unit_row
divisor_order,o2_wall_atlas,type_II_divisor_order,wall_charts.csv,divisor_order_row,divisor_order_equals_1,row_320_simple_sign_uses_odd_order_crossing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_divisor_order_row
local_sign_row,o2_wall_atlas,local_pfaffian_sign,wall_charts.csv,local_sign_row,local_sign_equals_minus_one,the_finite_packet_must_record_the_source_side_local_sign,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_local_sign_row
finite_pfaffian_wall_chart,finite_pfaffian,type_II_pfaffian_wall_chart,certificates/pfaffian/k3e_finite_pfaffian/wall_charts.csv,wall_chart_row,normal_rank_1_divisor_order_1_sign_value_minus_1,Pfin_must_carry_the_wall_sign_as_Pfaffian_line_data,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,pfin_wall_charts_empty
generator_sign_row,orientation_character,generator_sign_row,simple_sign_rows.csv,sign_row,sigma_o_i_R_equals_minus_one,epsilon_o_s_delta_i_value_needs_a_generator_sign_row,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_generator_sign_row_supplied
stratum_independence,orientation_character,sign_stratum_independence,simple_sign_rows.csv,independence_row,sigma_o_i_R_S_independent_of_S,character_value_must_not_depend_on_wall_chart_choice,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_independence_row_supplied
transition_compatibility,orientation_character,sign_transition_compatibility,simple_sign_rows.csv,transition_row,sigma_o_i_R_restricts_to_sigma_o_i_Rprime,global_epsilon_o_needs_compatible_finite_stage_signs,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,no_transition_sign_row_supplied
row321_separation,scope,next_determinant_comparison,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_321,epsilon_o_equals_det_after_signs,row_321_does_not_prove_row_320,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,next_row_kept_separate
maass_firewall,scope,later_maass_comparison,certificates/automorphic/delta5_maass_character/manifest.json,firewall_row,nu_Delta5_s_delta_i_equals_minus_one_is_target_value,row_322_compares_after_source_signs_are_computed,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-character-simple-wall-sign-criterion,verified,maass_value_not_used_as_source_sign
