obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,parity_transition_status,proof_reference,check_status,notes
primitive_transition_input,primitive_transition,primitive transition input,parity_transition_matrices.csv,primitive_transition,imports ambient primitive transition matrices before parity block restriction,parity preservation is a statement about the primitive transition map,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/README.md:1,verified,no primitive transition input row supplied
source_parity_blocks,parity_decomposition,source parity decomposition rows,parity_decomposition_rows.csv,source_parity_blocks,even and odd source bases and ranks for each retained degree,the transition cannot be block diagonal without source parity blocks,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:2,verified,no source parity block rows supplied
target_stage_parity_blocks,parity_decomposition,target stage parity decomposition rows,parity_decomposition_rows.csv,target_stage_parity_blocks,even and odd target-stage bases and ranks for each retained degree,the image condition must land in explicit even and odd target-stage summands,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:2,verified,no target-stage parity block rows supplied
source_parity_homogeneous_basis,basis,source parity homogeneous basis,parity_decomposition_rows.csv,source_parity_basis,basis vectors tagged by fermion parity with compact-source provenance,off diagonal blocks have no meaning without parity homogeneous source bases,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:3,verified,no source parity homogeneous basis rows supplied
target_parity_homogeneous_basis,basis,target stage parity homogeneous basis,parity_decomposition_rows.csv,target_parity_basis,basis vectors tagged by fermion parity with compact-source provenance,restricted even and odd target coordinates require target-stage parity bases,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:3,verified,no target parity homogeneous basis rows supplied
source_fermion_parity_involution,parity_operator,source fermion parity involution,parity_involutions.csv,source_involution,finite matrix for (-1)^F with idempotent and split-sum defects zero,parity preservation is the commutation relation with this involution,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:transition-parity,verified,no source parity involution row supplied
target_fermion_parity_involution,parity_operator,target stage fermion parity involution,parity_involutions.csv,target_involution,finite matrix for (-1)^F with idempotent and split-sum defects zero at the target stage,the target parity projection must be a verified direct-sum projector,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:transition-parity,verified,no target parity involution row supplied
ambient_transition_matrix,transition,ambient primitive transition matrix,parity_transition_matrices.csv,ambient_transition_matrix,finite transition matrix before parity block restriction,block diagonal preservation cannot be tested without the ambient transition matrix,missing_open_obligation,certificates/hall/transition_primitive_subspace_preservation/blocked_obligations.csv:14,verified,no ambient primitive transition matrix supplied
parity_commutator_identity,transition,parity commutator identity,transition_defects.csv,parity_commutator_defect_zero,zero defect for J_target T minus T J_source,this is the coordinate-free statement that T is an even map,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:transition-parity,verified,no parity commutator row supplied
off_diagonal_zero_identity,transition,off diagonal zero identity,transition_defects.csv,off_diagonal_defect_zero,zero even-to-odd and odd-to-even transition blocks,this is the finite matrix statement that T preserves both parity summands,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:transition-parity,verified,no off diagonal zero row supplied
even_restricted_transition_matrix,transition,restricted even transition matrix,parity_transition_matrices.csv,even_restricted_transition,transition matrix from source even block to target even block,parity preservation gives a map on the even tower needed by completion,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:transition-parity,verified,no restricted even transition row supplied
odd_restricted_transition_matrix,transition,restricted odd transition matrix,parity_transition_matrices.csv,odd_restricted_transition,transition matrix from source odd block to target odd block,parity preservation gives a map on the odd tower needed by completion,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:transition-parity,verified,no restricted odd transition row supplied
negative_root_parity_transport,chevalley,negative root parity transport,parity_transition_matrices.csv,negative_root_parity_transport,Chevalley anti-involution row carrying parity blocks to negative roots,R3 requires both positive and negative root parity dimensions under transition,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:190,verified,no negative-root parity transition row supplied
comparison_parity_square,comparison,A beta parity transition square,parity_comparison_squares.csv,a_beta_parity_square,zero even and odd defects for comparison maps against parity-preserving transitions,recognition requires source-to-target comparison maps to commute on each parity piece,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:835,verified,no A beta parity transition square supplied
parity_transition_composition,defect,parity transition composition law,transition_defects.csv,composition_defect_zero,successive even and odd restricted transitions compose with zero defect,the parity pieces must form functorial inverse systems before lim1 can be tested,missing_open_obligation,chapters/05_subsections/05_7_finite_constructions.tex:transition-parity-decomposition-preservation,verified,no parity transition composition row supplied
no_scalar_parity_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_parity_substitution_excluded,excludes scalar traces denominator products signed superdimensions target parity rows formal parity pushforward and parity ranks alone,prevents scalar or target data from being read as compact source parity transition preservation,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:transition-parity,verified,firewall rows supplied but parity transition data absent
