obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_M_entries,hall_product,source product matrix,certificates/sources/k3e_compact_hall/M_entries.csv,product_entry,finite constants M_ab_c in homogeneous bases,row362 compares product coefficients against G,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,no_M_entries_supplied
source_D_entries,hall_coproduct,source coproduct matrix,certificates/sources/k3e_compact_hall/D_entries.csv,coproduct_entry,finite constants D_d_uv in homogeneous bases,row362 compares coproduct coefficients against tensor G,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,no_D_entries_supplied
source_G_entries,hopf_pairing,source positive-negative pairing matrix,certificates/sources/k3e_compact_hall/G_entries.csv,G_entry,finite constants G_cd G_au G_bv in primitive bases,row362 is a pairing identity and needs source G entries,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,no_G_entries_supplied
tensor_pairing_sign_rows,sign,tensor-pairing Koszul sign rows,adjointness_rows.csv,tensor_sign_row,sign (-1)^{|e_b||e_u|} for the tensor pairing,the right hand pairing on P tensor P has a Koszul sign,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,no_tensor_sign_rows_supplied
hopf_adjointness_rows,hopf_pairing,Hopf-adjointness defect rows,adjointness_rows.csv,adjointness_defect_row,zero defect sum_c M_ab_c G_cd minus sum_uv D_d_uv sign G_au G_bv,this is the finite matrix verification of row362,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,no_current_adjointness_rows
product_correspondence_rows,geometry,product correspondence rows,product_correspondence_rows.csv,product_correspondence,pullback Thom-Sebastiani pushforward data for m_R,the product matrix must come from source correspondences,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,no_product_correspondence_rows_supplied
coproduct_correspondence_rows,geometry,coproduct correspondence rows,coproduct_correspondence_rows.csv,coproduct_correspondence,reversed pullback inverse Thom-Sebastiani pushforward data for Delta_R,the coproduct matrix must come from source correspondences,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,no_coproduct_correspondence_rows_supplied
orientation_transport,orientation,orientation transport rows,pairing_orientation_rows.csv,orientation_transport,orientation transport for product coproduct and pairing correspondences,Hopf adjointness is an oriented pull-push equality,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,no_orientation_transport_rows_supplied
bialgebra_not_adjointness,firewall,bialgebra compatibility firewall,scalar_firewall.csv,bialgebra_adjointness_separation,Delta m compatibility is not product-coproduct adjointness under G,row350 does not imply row362 without pairing rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,bialgebra_shortcut_excluded
invariance_not_adjointness,firewall,Frobenius invariance firewall,scalar_firewall.csv,invariance_adjointness_separation,Lie-bracket invariance is not product-coproduct adjointness,row361 does not imply row362 without coproduct rows,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,invariance_shortcut_excluded
target_hopf_form_firewall,firewall,target Hopf form firewall,scalar_firewall.csv,target_source_separation,target Hopf or BKM pairing cannot replace source Hall adjointness rows,the target form is only a comparison after source recognition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,target_shortcut_excluded
source_vs_target_firewall,firewall,source-target firewall,scalar_firewall.csv,source_target_separation,target product coproduct or pairing rows cannot replace compact source rows,the theorem is source-side before recognition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:prop:finite-hall-pairing-coproduct-adjointness,verified,source_target_firewall_active
